	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
Number of genes	121	121	121	116	121	115	118	122	120	118	119	120	121	120	122	120	118	133	119	119	132	116	122	120	119	120	121	121	118	120	121	120	120	122	120	120	120	120	121	122	121	122	117	119	119	134	120	121	120	117	121	121	121	118	121	117	120	120	118	103
Number of genes in orthogroups	121	121	121	116	121	113	118	121	120	117	119	120	121	120	122	120	118	133	119	118	132	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	121	122	117	119	119	133	120	120	120	117	121	120	117	118	120	117	120	120	118	98
Number of unassigned genes	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	4	0	1	0	0	0	0	5
Percentage of genes in orthogroups	100.0	100.0	100.0	100.0	100.0	98.3	100.0	99.2	100.0	99.2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.2	100.0	100.0	99.2	100.0	100.0	99.2	100.0	99.2	100.0	99.2	99.2	100.0	100.0	99.2	100.0	100.0	99.2	100.0	99.2	100.0	100.0	100.0	100.0	100.0	100.0	99.3	100.0	99.2	100.0	100.0	100.0	99.2	96.7	100.0	99.2	100.0	100.0	100.0	100.0	95.1
Percentage of unassigned genes	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.8	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.8	0.0	0.8	0.8	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.8	0.0	0.0	0.0	0.8	3.3	0.0	0.8	0.0	0.0	0.0	0.0	4.9
Number of orthogroups containing species	121	121	121	116	121	113	118	121	120	117	119	120	121	120	122	120	118	125	119	118	125	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	121	121	117	119	119	125	120	120	120	117	121	120	117	118	120	117	120	120	118	96
Percentage of orthogroups containing species	65.1	65.1	65.1	62.4	65.1	60.8	63.4	65.1	64.5	62.9	64.0	64.5	65.1	64.5	65.6	64.5	63.4	67.2	64.0	63.4	67.2	62.4	65.1	64.5	64.0	64.0	65.1	64.5	63.4	64.0	64.5	64.5	64.5	65.1	64.5	64.5	64.0	64.5	64.5	65.6	65.1	65.1	62.9	64.0	64.0	67.2	64.5	64.5	64.5	62.9	65.1	64.5	62.9	63.4	64.5	62.9	64.5	64.5	63.4	51.6
Number of species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Number of genes in species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	65	65	65	70	65	73	68	65	66	69	67	66	65	66	64	66	68	61	67	68	61	70	65	66	67	67	65	66	68	67	66	66	66	65	66	66	67	66	66	64	65	65	69	67	67	61	66	66	66	69	65	66	69	68	66	69	66	66	68	90
'1	121	121	121	116	121	113	118	121	120	117	119	120	121	120	122	120	118	119	119	118	120	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	121	120	117	119	119	120	120	120	120	117	121	120	117	118	120	117	120	120	118	94
