Orthogroup	Irido_IIV31_HF920637.1	Rana_SGIV_AY521625.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	Rana_SGIV_AY521625.1_00091
OG0000001	Irido_IIV31_HF920637.1_00143	Rana_SGIV_AY521625.1_00064
OG0000002	Irido_IIV31_HF920637.1_00059	Rana_SGIV_AY521625.1_00077
OG0000003	Irido_IIV31_HF920637.1_00159	Rana_SGIV_AY521625.1_00130
OG0000004	Irido_IIV31_HF920637.1_00025	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	Irido_IIV31_HF920637.1_00172	Rana_SGIV_AY521625.1_00016
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Rana_SGIV_AY521625.1_00085
OG0000007	Irido_IIV31_HF920637.1_00121	Rana_SGIV_AY521625.1_00051
OG0000008	Irido_IIV31_HF920637.1_00153	Rana_SGIV_AY521625.1_00142
OG0000009	Irido_IIV31_HF920637.1_00221	Rana_SGIV_AY521625.1_00100
OG0000011	Irido_IIV31_HF920637.1_00197	Rana_SGIV_AY521625.1_00086
OG0000012	Irido_IIV31_HF920637.1_00213	Rana_SGIV_AY521625.1_00065
OG0000013	Irido_IIV31_HF920637.1_00111	Rana_SGIV_AY521625.1_00047
OG0000014	Irido_IIV31_HF920637.1_00079	Rana_SGIV_AY521625.1_00073
OG0000015	Irido_IIV31_HF920637.1_00031	Rana_SGIV_AY521625.1_00074
OG0000016	Irido_IIV31_HF920637.1_00001	Rana_SGIV_AY521625.1_00110
OG0000017	Irido_IIV31_HF920637.1_00017	Rana_SGIV_AY521625.1_00048
OG0000018	Irido_IIV31_HF920637.1_00108	Rana_SGIV_AY521625.1_00115
OG0000019	Irido_IIV31_HF920637.1_00217	Rana_SGIV_AY521625.1_00053
OG0000020	Irido_IIV31_HF920637.1_00152	Rana_SGIV_AY521625.1_00035
OG0000021	Irido_IIV31_HF920637.1_00073	Rana_SGIV_AY521625.1_00059
OG0000022	Irido_IIV31_HF920637.1_00041	Rana_SGIV_AY521625.1_00054
OG0000023	Irido_IIV31_HF920637.1_00033	Rana_SGIV_AY521625.1_00062
OG0000024	Irido_IIV31_HF920637.1_00061	Rana_SGIV_AY521625.1_00042
OG0000113	Irido_IIV31_HF920637.1_00138	Rana_SGIV_AY521625.1_00036
OG0000133	Irido_IIV31_HF920637.1_00014	Rana_SGIV_AY521625.1_00102
OG0000134	Irido_IIV31_HF920637.1_00219	Rana_SGIV_AY521625.1_00098
OG0000137	Irido_IIV31_HF920637.1_00105	Rana_SGIV_AY521625.1_00056
OG0000148	Irido_IIV31_HF920637.1_00060	Rana_SGIV_AY521625.1_00133
OG0000156	Irido_IIV31_HF920637.1_00150	Rana_SGIV_AY521625.1_00044
OG0000160	Irido_IIV31_HF920637.1_00072	Rana_SGIV_AY521625.1_00126
