Orthogroup	Irido_IIV31_HF920637.1	MCV_MP1_LBUSV_OP009387.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	MCV_MP1_LBUSV_OP009387.1_00030
OG0000001	Irido_IIV31_HF920637.1_00143	MCV_MP1_LBUSV_OP009387.1_00007
OG0000002	Irido_IIV31_HF920637.1_00059	MCV_MP1_LBUSV_OP009387.1_00008
OG0000003	Irido_IIV31_HF920637.1_00159	MCV_MP1_LBUSV_OP009387.1_00015
OG0000004	Irido_IIV31_HF920637.1_00025	MCV_MP1_LBUSV_OP009387.1_00112
OG0000005	Irido_IIV31_HF920637.1_00172	MCV_MP1_LBUSV_OP009387.1_00091
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	MCV_MP1_LBUSV_OP009387.1_00029
OG0000007	Irido_IIV31_HF920637.1_00121	MCV_MP1_LBUSV_OP009387.1_00077
OG0000008	Irido_IIV31_HF920637.1_00153	MCV_MP1_LBUSV_OP009387.1_00113
OG0000009	Irido_IIV31_HF920637.1_00221	MCV_MP1_LBUSV_OP009387.1_00095
OG0000011	Irido_IIV31_HF920637.1_00197	MCV_MP1_LBUSV_OP009387.1_00087
OG0000012	Irido_IIV31_HF920637.1_00213	MCV_MP1_LBUSV_OP009387.1_00035
OG0000013	Irido_IIV31_HF920637.1_00111	MCV_MP1_LBUSV_OP009387.1_00107
OG0000014	Irido_IIV31_HF920637.1_00079	MCV_MP1_LBUSV_OP009387.1_00088
OG0000015	Irido_IIV31_HF920637.1_00031	MCV_MP1_LBUSV_OP009387.1_00031
OG0000016	Irido_IIV31_HF920637.1_00001	MCV_MP1_LBUSV_OP009387.1_00023
OG0000017	Irido_IIV31_HF920637.1_00017	MCV_MP1_LBUSV_OP009387.1_00057
OG0000018	Irido_IIV31_HF920637.1_00108	MCV_MP1_LBUSV_OP009387.1_00121
OG0000019	Irido_IIV31_HF920637.1_00217	MCV_MP1_LBUSV_OP009387.1_00064
OG0000020	Irido_IIV31_HF920637.1_00152	MCV_MP1_LBUSV_OP009387.1_00122
OG0000021	Irido_IIV31_HF920637.1_00073	MCV_MP1_LBUSV_OP009387.1_00033
OG0000022	Irido_IIV31_HF920637.1_00041	MCV_MP1_LBUSV_OP009387.1_00005
OG0000023	Irido_IIV31_HF920637.1_00033	MCV_MP1_LBUSV_OP009387.1_00044
OG0000024	Irido_IIV31_HF920637.1_00061	MCV_MP1_LBUSV_OP009387.1_00026
OG0000025	Irido_IIV31_HF920637.1_00156	MCV_MP1_LBUSV_OP009387.1_00065
OG0000030	Irido_IIV31_HF920637.1_00127	MCV_MP1_LBUSV_OP009387.1_00006
