Orthogroup	NC_027778.1	ON740976.1
OG0000000	NC_027778.1_00083	ON740976.1_00030
OG0000001	NC_027778.1_00061	ON740976.1_00007
OG0000002	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	ON740976.1_00076
OG0000003	NC_027778.1_00062	ON740976.1_00008
OG0000004	NC_027778.1_00068	ON740976.1_00014
OG0000005	NC_027778.1_00080	ON740976.1_00029
OG0000006	NC_027778.1_00098	ON740976.1_00075
OG0000007	NC_027778.1_00032	ON740976.1_00089
OG0000008	NC_027778.1_00040	ON740976.1_00111
OG0000009	NC_027778.1_00039	ON740976.1_00113
OG0000010	NC_027778.1_00106	ON740976.1_00005
OG0000011	NC_027778.1_00077	ON740976.1_00021
OG0000012	NC_027778.1_00133	ON740976.1_00031
OG0000013	NC_027778.1_00132	ON740976.1_00033
OG0000014	NC_027778.1_00129	ON740976.1_00035
OG0000015	NC_027778.1_00018	ON740976.1_00057
OG0000016	NC_027778.1_00111	ON740976.1_00063
OG0000017	NC_027778.1_00026	ON740976.1_00085
OG0000018	NC_027778.1_00027	ON740976.1_00086
OG0000019	NC_027778.1_00043	ON740976.1_00106
OG0000020	NC_027778.1_00038	ON740976.1_00121
OG0000021	NC_027778.1_00116	ON740976.1_00122
OG0000022	NC_027778.1_00003	ON740976.1_00044
OG0000023	NC_027778.1_00036	ON740976.1_00094
OG0000024	NC_027778.1_00042	ON740976.1_00109
OG0000025	NC_027778.1_00094, NC_027778.1_00095	ON740976.1_00064
OG0000026	NC_027778.1_00029	ON740976.1_00087
OG0000027	NC_027778.1_00006	ON740976.1_00047
OG0000028	NC_027778.1_00108	ON740976.1_00006
OG0000029	NC_027778.1_00021	ON740976.1_00061
OG0000030	NC_027778.1_00088	ON740976.1_00001
OG0000031	NC_027778.1_00100	ON740976.1_00080
OG0000032	NC_027778.1_00030	ON740976.1_00088
OG0000033	NC_027778.1_00090	ON740976.1_00123
OG0000034	NC_027778.1_00067	ON740976.1_00012
OG0000035	NC_027778.1_00115	ON740976.1_00013
OG0000036	NC_027778.1_00072	ON740976.1_00018
OG0000037	NC_027778.1_00073	ON740976.1_00019
OG0000038	NC_027778.1_00078	ON740976.1_00022
OG0000039	NC_027778.1_00070	ON740976.1_00023
OG0000040	NC_027778.1_00117	ON740976.1_00032
OG0000041	NC_027778.1_00134	ON740976.1_00036
OG0000042	NC_027778.1_00010	ON740976.1_00049
OG0000043	NC_027778.1_00011	ON740976.1_00050
OG0000044	NC_027778.1_00016	ON740976.1_00055
OG0000045	NC_027778.1_00017	ON740976.1_00056
OG0000046	NC_027778.1_00019	ON740976.1_00058
OG0000047	NC_027778.1_00031	ON740976.1_00059
OG0000048	NC_027778.1_00020	ON740976.1_00060
OG0000049	NC_027778.1_00099	ON740976.1_00077
OG0000050	NC_027778.1_00101	ON740976.1_00081
OG0000051	NC_027778.1_00126	ON740976.1_00082
OG0000052	NC_027778.1_00035	ON740976.1_00093
OG0000053	NC_027778.1_00086	ON740976.1_00095
OG0000054	NC_027778.1_00085	ON740976.1_00098
OG0000055	NC_027778.1_00041	ON740976.1_00110
OG0000056	NC_027778.1_00037	ON740976.1_00115
OG0000057	NC_027778.1_00121	ON740976.1_00117
OG0000058	NC_027778.1_00087	ON740976.1_00002
OG0000059	NC_027778.1_00064	ON740976.1_00010
OG0000060	NC_027778.1_00071	ON740976.1_00017
OG0000061	NC_027778.1_00033	ON740976.1_00090
OG0000062	NC_027778.1_00054	ON740976.1_00026
OG0000096	NC_027778.1_00025	ON740976.1_00119
OG0000113	NC_027778.1_00076	ON740976.1_00020
OG0000115	NC_027778.1_00015	ON740976.1_00054
OG0000117	NC_027778.1_00034	ON740976.1_00091
