Orthogroup	NC_027778.1	LS484712.1
OG0000000	NC_027778.1_00083	LS484712.1_00114
OG0000001	NC_027778.1_00061	LS484712.1_00142
OG0000003	NC_027778.1_00062	LS484712.1_00095
OG0000004	NC_027778.1_00068	LS484712.1_00187
OG0000005	NC_027778.1_00080	LS484712.1_00248
OG0000006	NC_027778.1_00098	LS484712.1_00040
OG0000007	NC_027778.1_00032	LS484712.1_00234, LS484712.1_00050
OG0000009	NC_027778.1_00039	LS484712.1_00130
OG0000010	NC_027778.1_00106	LS484712.1_00096
OG0000011	NC_027778.1_00077	LS484712.1_00200
OG0000012	NC_027778.1_00133	LS484712.1_00188
OG0000013	NC_027778.1_00132	LS484712.1_00240
OG0000014	NC_027778.1_00129	LS484712.1_00194
OG0000015	NC_027778.1_00018	LS484712.1_00143
OG0000016	NC_027778.1_00111	LS484712.1_00203
OG0000017	NC_027778.1_00026	LS484712.1_00192
OG0000018	NC_027778.1_00027	LS484712.1_00048
OG0000019	NC_027778.1_00043	LS484712.1_00053
OG0000020	NC_027778.1_00038	LS484712.1_00202
OG0000021	NC_027778.1_00116	LS484712.1_00135
OG0000022	NC_027778.1_00003	LS484712.1_00117
OG0000188	NC_027778.1_00102	LS484712.1_00024
