Orthogroup	NC_027778.1	MW139932.1
OG0000000	NC_027778.1_00083	MW139932.1_00033
OG0000001	NC_027778.1_00061	MW139932.1_00007
OG0000002	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	MW139932.1_00078
OG0000003	NC_027778.1_00062	MW139932.1_00008
OG0000004	NC_027778.1_00068	MW139932.1_00015
OG0000005	NC_027778.1_00080	MW139932.1_00032
OG0000006	NC_027778.1_00098	MW139932.1_00077
OG0000007	NC_027778.1_00032	MW139932.1_00091
OG0000008	NC_027778.1_00040	MW139932.1_00113
OG0000009	NC_027778.1_00039	MW139932.1_00115
OG0000010	NC_027778.1_00106	MW139932.1_00005
OG0000011	NC_027778.1_00077	MW139932.1_00023
OG0000012	NC_027778.1_00133	MW139932.1_00034
OG0000013	NC_027778.1_00132	MW139932.1_00036
OG0000014	NC_027778.1_00129	MW139932.1_00038
OG0000015	NC_027778.1_00018	MW139932.1_00059
OG0000016	NC_027778.1_00111	MW139932.1_00065
OG0000017	NC_027778.1_00026	MW139932.1_00087
OG0000018	NC_027778.1_00027	MW139932.1_00088
OG0000019	NC_027778.1_00043	MW139932.1_00108
OG0000020	NC_027778.1_00038	MW139932.1_00123
OG0000021	NC_027778.1_00116	MW139932.1_00124
OG0000022	NC_027778.1_00003	MW139932.1_00047
OG0000023	NC_027778.1_00036	MW139932.1_00096
OG0000024	NC_027778.1_00042	MW139932.1_00111
OG0000025	NC_027778.1_00094, NC_027778.1_00095	MW139932.1_00066
OG0000026	NC_027778.1_00029	MW139932.1_00089
OG0000027	NC_027778.1_00006	MW139932.1_00050
OG0000028	NC_027778.1_00108	MW139932.1_00006
OG0000029	NC_027778.1_00021	MW139932.1_00063
OG0000030	NC_027778.1_00088	MW139932.1_00001
OG0000031	NC_027778.1_00100	MW139932.1_00082
OG0000032	NC_027778.1_00030	MW139932.1_00090
OG0000033	NC_027778.1_00090	MW139932.1_00125
OG0000034	NC_027778.1_00067	MW139932.1_00013
OG0000035	NC_027778.1_00115	MW139932.1_00014
OG0000036	NC_027778.1_00072	MW139932.1_00019
OG0000037	NC_027778.1_00073	MW139932.1_00020
OG0000038	NC_027778.1_00078	MW139932.1_00024
OG0000039	NC_027778.1_00070	MW139932.1_00025
OG0000040	NC_027778.1_00117	MW139932.1_00035
OG0000041	NC_027778.1_00134	MW139932.1_00039
OG0000042	NC_027778.1_00010	MW139932.1_00051
OG0000043	NC_027778.1_00011	MW139932.1_00052
OG0000044	NC_027778.1_00016	MW139932.1_00057
OG0000045	NC_027778.1_00017	MW139932.1_00058
OG0000046	NC_027778.1_00019	MW139932.1_00060
OG0000047	NC_027778.1_00031	MW139932.1_00061
OG0000048	NC_027778.1_00020	MW139932.1_00062
OG0000049	NC_027778.1_00099	MW139932.1_00079
OG0000050	NC_027778.1_00101	MW139932.1_00083
OG0000051	NC_027778.1_00126	MW139932.1_00084
OG0000052	NC_027778.1_00035	MW139932.1_00095
OG0000053	NC_027778.1_00086	MW139932.1_00097
OG0000054	NC_027778.1_00085	MW139932.1_00100
OG0000055	NC_027778.1_00041	MW139932.1_00112
OG0000056	NC_027778.1_00037	MW139932.1_00117
OG0000057	NC_027778.1_00121	MW139932.1_00119
OG0000058	NC_027778.1_00087	MW139932.1_00002
OG0000059	NC_027778.1_00064	MW139932.1_00010
OG0000060	NC_027778.1_00071	MW139932.1_00018
OG0000061	NC_027778.1_00033	MW139932.1_00092
OG0000062	NC_027778.1_00054	MW139932.1_00029
OG0000096	NC_027778.1_00025	MW139932.1_00121
OG0000113	NC_027778.1_00076	MW139932.1_00022
OG0000114	NC_027778.1_00065	MW139932.1_00011
OG0000117	NC_027778.1_00034	MW139932.1_00093
