Orthogroup	NC_027778.1	NC_005946.1
OG0000000	NC_027778.1_00083	NC_005946.1_00010
OG0000001	NC_027778.1_00061	NC_005946.1_00091
OG0000003	NC_027778.1_00062	NC_005946.1_00053
OG0000004	NC_027778.1_00068	NC_005946.1_00057
OG0000005	NC_027778.1_00080	NC_005946.1_00095
OG0000006	NC_027778.1_00098	NC_005946.1_00042
OG0000007	NC_027778.1_00032	NC_005946.1_00002
OG0000008	NC_027778.1_00040	NC_005946.1_00028
OG0000009	NC_027778.1_00039	NC_005946.1_00092
OG0000010	NC_027778.1_00106	NC_005946.1_00038
OG0000011	NC_027778.1_00077	NC_005946.1_00060
OG0000012	NC_027778.1_00133	NC_005946.1_00083
OG0000013	NC_027778.1_00132	NC_005946.1_00087
OG0000014	NC_027778.1_00129	NC_005946.1_00061
OG0000015	NC_027778.1_00018	NC_005946.1_00022
OG0000016	NC_027778.1_00111	NC_005946.1_00011
OG0000017	NC_027778.1_00026	NC_005946.1_00094
OG0000018	NC_027778.1_00027	NC_005946.1_00082
OG0000019	NC_027778.1_00043	NC_005946.1_00023
OG0000020	NC_027778.1_00038	NC_005946.1_00016
OG0000021	NC_027778.1_00116	NC_005946.1_00021
OG0000022	NC_027778.1_00003	NC_005946.1_00089
OG0000023	NC_027778.1_00036	NC_005946.1_00014
OG0000024	NC_027778.1_00042	NC_005946.1_00086
OG0000026	NC_027778.1_00029	NC_005946.1_00049
OG0000027	NC_027778.1_00006	NC_005946.1_00085
OG0000146	NC_027778.1_00119	NC_005946.1_00052
OG0000191	NC_027778.1_00055	NC_005946.1_00007
