Orthogroup	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
OG0000471	AF303741.1_00013																																												
OG0000472	AF303741.1_00019																																												
OG0000473	AF303741.1_00021																																												
OG0000474	AF303741.1_00022																																												
OG0000475	AF303741.1_00029																																												
OG0000476	AF303741.1_00030																																												
OG0000477	AF303741.1_00032																																												
OG0000478	AF303741.1_00033																																												
OG0000479	AF303741.1_00036																																												
OG0000480	AF303741.1_00037																																												
OG0000481	AF303741.1_00038																																												
OG0000482	AF303741.1_00039																																												
OG0000483	AF303741.1_00041																																												
OG0000484	AF303741.1_00054																																												
OG0000485	AF303741.1_00057																																												
OG0000486	AF303741.1_00058																																												
OG0000487	AF303741.1_00059																																												
OG0000488	AF303741.1_00071																																												
OG0000489	AF303741.1_00073																																												
OG0000490	AF303741.1_00075																																												
OG0000491	AF303741.1_00082																																												
OG0000492	AF303741.1_00084																																												
OG0000493	AF303741.1_00103																																												
OG0000494	AF303741.1_00108																																												
OG0000495	AF303741.1_00110																																												
OG0000496	AF303741.1_00114																																												
OG0000497	AF303741.1_00123																																												
OG0000498	AF303741.1_00127																																												
OG0000499	AF303741.1_00128																																												
OG0000500	AF303741.1_00133																																												
OG0000501	AF303741.1_00134																																												
OG0000502	AF303741.1_00138																																												
OG0000503	AF303741.1_00144																																												
OG0000504	AF303741.1_00153																																												
OG0000505	AF303741.1_00164																																												
OG0000506	AF303741.1_00171																																												
OG0000507	AF303741.1_00188																																												
OG0000508	AF303741.1_00191																																												
OG0000509	AF303741.1_00194																																												
OG0000510			AY521625.1_00001																																										
OG0000511			AY521625.1_00006																																										
OG0000512			AY521625.1_00007																																										
OG0000513			AY521625.1_00009																																										
OG0000514			AY521625.1_00012																																										
OG0000515			AY521625.1_00017																																										
OG0000516			AY521625.1_00019																																										
OG0000517			AY521625.1_00021																																										
OG0000518			AY521625.1_00024																																										
OG0000519			AY521625.1_00028																																										
OG0000520			AY521625.1_00031																																										
OG0000521			AY521625.1_00034																																										
OG0000522			AY521625.1_00037																																										
OG0000523			AY521625.1_00038																																										
OG0000524			AY521625.1_00040																																										
OG0000525			AY521625.1_00041																																										
OG0000526			AY521625.1_00045																																										
OG0000527			AY521625.1_00049																																										
OG0000528			AY521625.1_00050																																										
OG0000529			AY521625.1_00058																																										
OG0000530			AY521625.1_00067																																										
OG0000531			AY521625.1_00071																																										
OG0000532			AY521625.1_00083																																										
OG0000533			AY521625.1_00084																																										
OG0000534			AY521625.1_00087																																										
OG0000535			AY521625.1_00092																																										
OG0000536			AY521625.1_00093																																										
OG0000537			AY521625.1_00095																																										
OG0000538			AY521625.1_00096																																										
OG0000539			AY521625.1_00099																																										
OG0000540			AY521625.1_00101																																										
OG0000541			AY521625.1_00103																																										
OG0000542			AY521625.1_00112																																										
OG0000543			AY521625.1_00114																																										
OG0000544			AY521625.1_00120																																										
OG0000545			AY521625.1_00121																																										
OG0000546			AY521625.1_00122																																										
OG0000547			AY521625.1_00129																																										
OG0000548			AY521625.1_00132																																										
