0: 23043610003.faa
1: 23043610005.faa
2: AB104413.faa
3: AF303741.faa
4: AF371960.faa
5: AP017456.faa
6: AY521625.faa
7: AY894343.faa
8: BD143114.faa
9: GQ273492.faa
10: HF920633.faa
11: HF920637.faa
12: KC244182.faa
13: KF938901.faa
14: KT781098.faa
15: KT804738.faa
16: KX643370.faa
17: LS484712.faa
18: MF599468.faa
19: MG570131.faa
20: MG570132.faa
21: MK098185.faa
22: MK098186.faa
23: MK098187.faa
24: MK637631.faa
25: MK689685.faa
26: MK689686.faa
27: MN432490.faa
28: MN562489.faa
29: MN803438.faa
30: MT128666.faa
31: MT128667.faa
32: MT521409.faa
33: MT798582.faa
34: MT926123.faa
35: MT986830.faa
36: MW139932.faa
37: MW273353.faa
38: MW273354.faa
39: MW883593.faa
40: MW883594.faa
41: MW883595.faa
42: MW883596.faa
43: MW883597.faa
44: MW883598.faa
45: MW883599.faa
46: MW883600.faa
47: MW883601.faa
48: MW883602.faa
49: MW883603.faa
50: MW883606.faa
51: NC_003494.faa
52: NC_005946.faa
53: OK042108.faa
54: OK042109.faa
55: OL774653.faa
56: OL774654.faa
57: OL774655.faa
58: OM037668.faa
59: ON075463.faa
60: ON212400.faa
61: ON740976.faa
62: ON743042.faa
63: OP009387.faa
64: OP896201.faa
65: OQ475017.faa
66: OQ513807.faa
67: OR356116.faa
68: OR536350.faa
69: OR670976.faa
70: PP151097.faa
71: PP974677.faa
72: PQ335173_PQ335174.faa
