Orthogroup	MT521409.1	MN562489.1
OG0000000	MT521409.1_00103	MN562489.1_00102
OG0000001	MT521409.1_00081	MN562489.1_00080
OG0000002	MT521409.1_00002	MN562489.1_00002
OG0000002	MT521409.1_00010	MN562489.1_00010
OG0000002	MT521409.1_00132	MN562489.1_00131
OG0000003	MT521409.1_00082	MN562489.1_00081
OG0000004	MT521409.1_00088	MN562489.1_00087
OG0000005	MT521409.1_00100	MN562489.1_00099
OG0000006	MT521409.1_00117	MN562489.1_00116
OG0000007	MT521409.1_00053	MN562489.1_00052
OG0000008	MT521409.1_00061	MN562489.1_00060
OG0000009	MT521409.1_00060	MN562489.1_00059
OG0000010	MT521409.1_00125	MN562489.1_00124
OG0000011	MT521409.1_00097	MN562489.1_00096
OG0000012	MT521409.1_00012	MN562489.1_00012
OG0000013	MT521409.1_00011	MN562489.1_00011
OG0000014	MT521409.1_00008	MN562489.1_00008
OG0000015	MT521409.1_00039	MN562489.1_00038
OG0000016	MT521409.1_00129	MN562489.1_00128
OG0000017	MT521409.1_00047	MN562489.1_00046
OG0000018	MT521409.1_00048	MN562489.1_00047
OG0000019	MT521409.1_00064	MN562489.1_00063
OG0000020	MT521409.1_00059	MN562489.1_00058
OG0000021	MT521409.1_00134	MN562489.1_00133
OG0000022	MT521409.1_00024	MN562489.1_00023
OG0000023	MT521409.1_00057	MN562489.1_00056
OG0000024	MT521409.1_00063	MN562489.1_00062
OG0000025	MT521409.1_00114	MN562489.1_00113
OG0000026	MT521409.1_00050	MN562489.1_00049
OG0000027	MT521409.1_00027	MN562489.1_00026
OG0000028	MT521409.1_00127	MN562489.1_00126
OG0000029	MT521409.1_00042	MN562489.1_00041
OG0000030	MT521409.1_00108	MN562489.1_00107
OG0000031	MT521409.1_00119	MN562489.1_00118
OG0000032	MT521409.1_00051	MN562489.1_00050
OG0000033	MT521409.1_00110	MN562489.1_00109
OG0000034	MT521409.1_00087	MN562489.1_00086
OG0000035	MT521409.1_00133	MN562489.1_00132
OG0000036	MT521409.1_00092	MN562489.1_00091
OG0000037	MT521409.1_00093	MN562489.1_00092
OG0000038	MT521409.1_00098	MN562489.1_00097
OG0000039	MT521409.1_00090	MN562489.1_00089
OG0000040	MT521409.1_00135	MN562489.1_00134
OG0000041	MT521409.1_00013	MN562489.1_00013
OG0000042	MT521409.1_00031	MN562489.1_00030
