Orthogroup	MT521409.1	LS484712.1
OG0000000	MT521409.1_00103	LS484712.1_00114
OG0000001	MT521409.1_00081	LS484712.1_00142
OG0000003	MT521409.1_00082	LS484712.1_00095
OG0000004	MT521409.1_00088	LS484712.1_00187
OG0000005	MT521409.1_00100	LS484712.1_00248
OG0000006	MT521409.1_00117	LS484712.1_00040
OG0000007	MT521409.1_00053	LS484712.1_00234, LS484712.1_00050
OG0000009	MT521409.1_00060	LS484712.1_00130
OG0000010	MT521409.1_00125	LS484712.1_00096
OG0000011	MT521409.1_00097	LS484712.1_00200
OG0000012	MT521409.1_00012	LS484712.1_00188
OG0000013	MT521409.1_00011	LS484712.1_00240
OG0000014	MT521409.1_00008	LS484712.1_00194
OG0000015	MT521409.1_00039	LS484712.1_00143
OG0000016	MT521409.1_00129	LS484712.1_00203
OG0000017	MT521409.1_00047	LS484712.1_00192
OG0000018	MT521409.1_00048	LS484712.1_00048
OG0000019	MT521409.1_00064	LS484712.1_00053
OG0000020	MT521409.1_00059	LS484712.1_00202
OG0000021	MT521409.1_00134	LS484712.1_00135
OG0000022	MT521409.1_00024	LS484712.1_00117
OG0000188	MT521409.1_00121	LS484712.1_00024
