Orthogroup	MT521409.1	OL774653.1
OG0000000	MT521409.1_00103	OL774653.1_00051
OG0000001	MT521409.1_00081	OL774653.1_00025
OG0000002	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132	OL774653.1_00095
OG0000003	MT521409.1_00082	OL774653.1_00026
OG0000004	MT521409.1_00088	OL774653.1_00032
OG0000005	MT521409.1_00100	OL774653.1_00050
OG0000006	MT521409.1_00117	OL774653.1_00094
OG0000007	MT521409.1_00053	OL774653.1_00108
OG0000008	MT521409.1_00061	OL774653.1_00006
OG0000009	MT521409.1_00060	OL774653.1_00008
OG0000010	MT521409.1_00125	OL774653.1_00023
OG0000011	MT521409.1_00097	OL774653.1_00039
OG0000012	MT521409.1_00012	OL774653.1_00052
OG0000013	MT521409.1_00011	OL774653.1_00054
OG0000014	MT521409.1_00008	OL774653.1_00056
OG0000015	MT521409.1_00039	OL774653.1_00076
OG0000016	MT521409.1_00129	OL774653.1_00082
OG0000017	MT521409.1_00047	OL774653.1_00104
OG0000018	MT521409.1_00048	OL774653.1_00105
OG0000019	MT521409.1_00064	OL774653.1_00001
OG0000020	MT521409.1_00059	OL774653.1_00016
OG0000021	MT521409.1_00134	OL774653.1_00017
OG0000022	MT521409.1_00024	OL774653.1_00065
OG0000023	MT521409.1_00057	OL774653.1_00114
OG0000024	MT521409.1_00063	OL774653.1_00004
OG0000025	MT521409.1_00114	OL774653.1_00083
OG0000026	MT521409.1_00050	OL774653.1_00106
OG0000027	MT521409.1_00027	OL774653.1_00068
OG0000028	MT521409.1_00127	OL774653.1_00024
OG0000029	MT521409.1_00042	OL774653.1_00080
OG0000030	MT521409.1_00108	OL774653.1_00019
OG0000031	MT521409.1_00119	OL774653.1_00099
OG0000032	MT521409.1_00051	OL774653.1_00107
OG0000033	MT521409.1_00110	OL774653.1_00018
OG0000034	MT521409.1_00087	OL774653.1_00030
OG0000035	MT521409.1_00133	OL774653.1_00031
OG0000036	MT521409.1_00092	OL774653.1_00036
OG0000037	MT521409.1_00093	OL774653.1_00037
OG0000038	MT521409.1_00098	OL774653.1_00040
OG0000039	MT521409.1_00090	OL774653.1_00041
OG0000040	MT521409.1_00135	OL774653.1_00053
OG0000041	MT521409.1_00013	OL774653.1_00057
OG0000042	MT521409.1_00031	OL774653.1_00069
OG0000043	MT521409.1_00032	OL774653.1_00070
OG0000044	MT521409.1_00037	OL774653.1_00074
OG0000045	MT521409.1_00038	OL774653.1_00075
OG0000046	MT521409.1_00040	OL774653.1_00077
OG0000047	MT521409.1_00052	OL774653.1_00078
OG0000048	MT521409.1_00041	OL774653.1_00079
OG0000049	MT521409.1_00118	OL774653.1_00096
OG0000050	MT521409.1_00120	OL774653.1_00100
OG0000051	MT521409.1_00005	OL774653.1_00101
OG0000052	MT521409.1_00056	OL774653.1_00113
OG0000053	MT521409.1_00106	OL774653.1_00115
OG0000054	MT521409.1_00105	OL774653.1_00118
OG0000055	MT521409.1_00062	OL774653.1_00005
OG0000056	MT521409.1_00058	OL774653.1_00010
OG0000057	MT521409.1_00001	OL774653.1_00012
OG0000058	MT521409.1_00107	OL774653.1_00020
OG0000059	MT521409.1_00084	OL774653.1_00028
OG0000060	MT521409.1_00091	OL774653.1_00035
OG0000061	MT521409.1_00054	OL774653.1_00109
OG0000062	MT521409.1_00074	OL774653.1_00047
OG0000096	MT521409.1_00046	OL774653.1_00014
OG0000113	MT521409.1_00096	OL774653.1_00038
