	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
AB104413	121	25	116	121	27	115	121	112	25	25	118	24	117	120	28	22	24	115	116	120	121	120	118	119	115	66	28	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	28	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
AF303741	25	144	25	25	30	25	25	25	98	128	25	86	25	25	31	43	55	25	25	25	25	25	25	25	25	28	31	25	25	28	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	30	25	25	25	25	25	28	25	25	25	25	25	25	25	23	25	25	25	25	25	25
AF371960	116	25	121	116	27	111	116	110	25	25	113	24	120	115	29	22	24	115	115	115	116	115	120	114	117	69	29	118	117	69	114	119	117	114	118	120	119	117	117	119	119	114	120	119	119	118	119	119	121	27	116	116	112	114	114	68	115	119	115	112	118	119	113	117	119	116	119	118	116	93
AP017456	121	25	116	121	27	115	121	112	25	25	118	24	117	120	28	22	24	115	116	120	121	120	118	119	115	66	28	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	28	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
AY521625	27	30	27	27	77	27	27	27	33	30	27	31	27	27	46	24	33	27	27	27	27	27	27	27	27	29	44	27	27	29	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	66	27	27	27	27	27	29	27	27	27	26	27	27	27	25	27	27	27	27	27	27
AY894343	115	25	111	115	27	116	115	106	25	25	113	24	112	115	28	22	24	110	111	115	115	115	113	114	111	65	28	110	110	65	111	113	112	114	111	112	111	110	112	111	111	114	112	111	111	110	111	111	112	28	115	115	112	114	114	64	115	111	115	112	114	111	109	108	111	110	111	112	110	87
BD143114	121	25	116	121	27	115	121	112	25	25	118	24	117	120	28	22	24	115	116	120	121	120	118	119	115	66	28	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	28	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
GQ273492	112	25	110	112	27	106	112	113	25	25	110	24	110	111	27	22	24	110	110	111	112	111	111	110	108	64	27	108	107	64	108	110	109	110	109	110	109	107	108	109	109	110	110	109	109	108	109	109	110	28	112	112	108	110	110	63	111	109	111	108	110	109	107	106	109	107	109	109	107	87
HF920633	25	98	25	25	33	25	25	25	132	87	25	114	25	25	35	46	52	25	25	25	25	25	25	25	25	26	35	25	25	26	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	33	25	25	25	25	25	26	25	25	25	25	25	25	25	23	25	25	25	25	25	25
HF920637	25	128	25	25	30	25	25	25	87	139	25	81	25	25	33	43	54	25	25	25	25	25	25	25	25	27	33	25	25	27	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	30	25	25	25	25	25	27	25	25	25	25	25	25	25	23	25	25	25	25	25	25
