	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
AB104413	0.0	25.0	116.0	121.0	27.0	115.0	121.0	112.0	25.0	25.0	118.0	24.0	117.0	120.0	28.0	22.0	24.0	115.0	116.0	120.0	121.0	120.0	118.0	119.0	115.0	66.0	28.0	115.0	114.0	66.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	28.0	121.0	120.0	117.0	119.0	119.0	65.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0	92.0
AF303741	26.0	0.0	26.0	26.0	31.0	26.0	26.0	26.0	110.0	145.0	26.0	92.0	26.0	26.0	33.0	49.0	64.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	29.0	33.0	26.0	26.0	29.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	31.0	26.0	26.0	26.0	26.0	26.0	29.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	24.0	26.0	26.0	26.0	26.0	26.0	26.0
AF371960	116.0	25.0	0.0	116.0	27.0	111.0	116.0	110.0	25.0	25.0	113.0	24.0	120.0	115.0	29.0	22.0	24.0	115.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	69.0	29.0	118.0	117.0	69.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	117.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	118.0	119.0	119.0	121.0	27.0	116.0	116.0	112.0	114.0	114.0	68.0	115.0	119.0	115.0	112.0	118.0	119.0	113.0	117.0	119.0	116.0	119.0	118.0	116.0	93.0
AP017456	121.0	25.0	116.0	0.0	27.0	115.0	121.0	112.0	25.0	25.0	118.0	24.0	117.0	120.0	28.0	22.0	24.0	115.0	116.0	120.0	121.0	120.0	118.0	119.0	115.0	66.0	28.0	115.0	114.0	66.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	28.0	121.0	120.0	117.0	119.0	119.0	65.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0	92.0
AY521625	27.0	30.0	27.0	27.0	0.0	27.0	27.0	27.0	33.0	30.0	27.0	31.0	27.0	27.0	46.0	24.0	33.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	29.0	44.0	27.0	27.0	29.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	66.0	27.0	27.0	27.0	27.0	27.0	29.0	27.0	27.0	27.0	26.0	27.0	27.0	27.0	25.0	27.0	27.0	27.0	27.0	27.0	27.0
AY894343	115.0	25.0	111.0	115.0	27.0	0.0	115.0	106.0	25.0	25.0	113.0	24.0	112.0	115.0	28.0	22.0	24.0	110.0	111.0	115.0	115.0	115.0	113.0	114.0	111.0	65.0	28.0	110.0	110.0	65.0	111.0	113.0	112.0	114.0	111.0	112.0	111.0	110.0	112.0	111.0	111.0	114.0	112.0	111.0	111.0	110.0	111.0	111.0	112.0	28.0	115.0	115.0	112.0	114.0	114.0	64.0	115.0	111.0	115.0	112.0	114.0	111.0	109.0	108.0	111.0	110.0	111.0	112.0	110.0	87.0
BD143114	121.0	25.0	116.0	121.0	27.0	115.0	0.0	112.0	25.0	25.0	118.0	24.0	117.0	120.0	28.0	22.0	24.0	115.0	116.0	120.0	121.0	120.0	118.0	119.0	115.0	66.0	28.0	115.0	114.0	66.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	28.0	121.0	120.0	117.0	119.0	119.0	65.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0	92.0
GQ273492	112.0	25.0	110.0	112.0	27.0	106.0	112.0	0.0	25.0	25.0	110.0	24.0	110.0	111.0	27.0	22.0	24.0	110.0	110.0	111.0	112.0	111.0	111.0	110.0	108.0	64.0	27.0	108.0	107.0	64.0	108.0	110.0	109.0	110.0	109.0	110.0	109.0	107.0	108.0	109.0	109.0	110.0	110.0	109.0	109.0	108.0	109.0	109.0	110.0	28.0	112.0	112.0	108.0	110.0	110.0	63.0	111.0	109.0	111.0	108.0	110.0	109.0	107.0	106.0	109.0	107.0	109.0	109.0	107.0	87.0
HF920633	25.0	114.0	25.0	25.0	33.0	25.0	25.0	25.0	0.0	102.0	25.0	126.0	25.0	25.0	35.0	49.0	58.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	26.0	35.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	33.0	25.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	23.0	25.0	25.0	25.0	25.0	25.0	25.0
HF920637	28.0	151.0	28.0	28.0	33.0	28.0	28.0	28.0	102.0	0.0	28.0	89.0	28.0	28.0	36.0	50.0	67.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	30.0	36.0	28.0	28.0	30.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	33.0	28.0	28.0	28.0	28.0	28.0	30.0	28.0	28.0	28.0	28.0	28.0	28.0	28.0	26.0	28.0	28.0	28.0	28.0	28.0	28.0
KC244182	118.0	25.0	113.0	118.0	27.0	113.0	118.0	110.0	25.0	25.0	0.0	24.0	114.0	118.0	28.0	22.0	24.0	112.0	113.0	118.0	118.0	118.0	115.0	117.0	112.0	66.0	28.0	112.0	111.0	66.0	113.0	114.0	114.0	117.0	113.0	114.0	113.0	112.0	113.0	113.0	113.0	117.0	114.0	113.0	113.0	112.0	113.0	113.0	114.0	28.0	118.0	118.0	115.0	117.0	117.0	65.0	118.0	113.0	118.0	116.0	115.0	113.0	111.0	110.0	113.0	111.0	113.0	113.0	112.0	90.0
KF938901	25.0	99.0	25.0	25.0	32.0	25.0	25.0	25.0	127.0	88.0	25.0	0.0	25.0	25.0	34.0	48.0	52.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	26.0	34.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	32.0	25.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	22.0	25.0	25.0	25.0	25.0	25.0	25.0
KT781098	117.0	25.0	120.0	117.0	27.0	112.0	117.0	110.0	25.0	25.0	114.0	24.0	0.0	116.0	29.0	22.0	24.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	69.0	29.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	27.0	117.0	117.0	113.0	115.0	115.0	68.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	94.0
KT804738	120.0	25.0	115.0	120.0	27.0	115.0	120.0	111.0	25.0	25.0	118.0	24.0	116.0	0.0	28.0	22.0	24.0	114.0	115.0	120.0	120.0	120.0	117.0	119.0	114.0	66.0	28.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	28.0	120.0	120.0	117.0	119.0	119.0	65.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	91.0
KX643370	29.0	38.0	31.0	29.0	55.0	29.0	29.0	28.0	42.0	40.0	29.0	34.0	31.0	29.0	0.0	26.0	39.0	29.0	29.0	29.0	29.0	29.0	31.0	29.0	31.0	38.0	136.0	31.0	31.0	38.0	29.0	31.0	31.0	29.0	29.0	31.0	31.0	31.0	31.0	31.0	31.0	29.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	51.0	29.0	29.0	29.0	29.0	29.0	38.0	29.0	31.0	29.0	29.0	31.0	31.0	29.0	29.0	31.0	29.0	29.0	31.0	31.0	29.0
LS484712	22.0	43.0	22.0	22.0	24.0	22.0	22.0	22.0	46.0	43.0	22.0	44.0	22.0	22.0	25.0	0.0	29.0	22.0	22.0	22.0	22.0	22.0	22.0	21.0	22.0	22.0	25.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	24.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	20.0	22.0	22.0	22.0	22.0	22.0	22.0
