Orthogroup	MCV_MP1_RBIV_KC244182.1	Chlor_IIV22_HF920633.1
OG0000000	MCV_MP1_RBIV_KC244182.1_00029	Chlor_IIV22_HF920633.1_00044
OG0000001	MCV_MP1_RBIV_KC244182.1_00007	Chlor_IIV22_HF920633.1_00073
OG0000002	MCV_MP1_RBIV_KC244182.1_00008	Chlor_IIV22_HF920633.1_00069
OG0000003	MCV_MP1_RBIV_KC244182.1_00014	Chlor_IIV22_HF920633.1_00127
OG0000004	MCV_MP1_RBIV_KC244182.1_00112	Chlor_IIV22_HF920633.1_00079
OG0000005	MCV_MP1_RBIV_KC244182.1_00090	Chlor_IIV22_HF920633.1_00091
OG0000006	MCV_MP1_RBIV_KC244182.1_00028	Chlor_IIV22_HF920633.1_00043
OG0000007	MCV_MP1_RBIV_KC244182.1_00076	Chlor_IIV22_HF920633.1_00025
OG0000008	MCV_MP1_RBIV_KC244182.1_00114	Chlor_IIV22_HF920633.1_00122
OG0000009	MCV_MP1_RBIV_KC244182.1_00095	Chlor_IIV22_HF920633.1_00085
OG0000011	MCV_MP1_RBIV_KC244182.1_00086	Chlor_IIV22_HF920633.1_00163
OG0000012	MCV_MP1_RBIV_KC244182.1_00034	Chlor_IIV22_HF920633.1_00175
OG0000013	MCV_MP1_RBIV_KC244182.1_00107	Chlor_IIV22_HF920633.1_00003
OG0000014	MCV_MP1_RBIV_KC244182.1_00087	Chlor_IIV22_HF920633.1_00094
OG0000015	MCV_MP1_RBIV_KC244182.1_00030	Chlor_IIV22_HF920633.1_00080
OG0000016	MCV_MP1_RBIV_KC244182.1_00022	Chlor_IIV22_HF920633.1_00001
OG0000017	MCV_MP1_RBIV_KC244182.1_00056	Chlor_IIV22_HF920633.1_00067
OG0000018	MCV_MP1_RBIV_KC244182.1_00121	Chlor_IIV22_HF920633.1_00138
OG0000019	MCV_MP1_RBIV_KC244182.1_00063	Chlor_IIV22_HF920633.1_00118
OG0000020	MCV_MP1_RBIV_KC244182.1_00122	Chlor_IIV22_HF920633.1_00058
OG0000021	MCV_MP1_RBIV_KC244182.1_00032	Chlor_IIV22_HF920633.1_00158
OG0000022	MCV_MP1_RBIV_KC244182.1_00005	Chlor_IIV22_HF920633.1_00097
OG0000023	MCV_MP1_RBIV_KC244182.1_00043	Chlor_IIV22_HF920633.1_00017
OG0000024	MCV_MP1_RBIV_KC244182.1_00025	Chlor_IIV22_HF920633.1_00062
OG0000025	MCV_MP1_RBIV_KC244182.1_00064	Chlor_IIV22_HF920633.1_00047
