Orthogroup	MCV_MP1_RBIV_KC244182.1	Irido_IIV6_AF303741.1
OG0000000	MCV_MP1_RBIV_KC244182.1_00029	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	MCV_MP1_RBIV_KC244182.1_00007	Irido_IIV6_AF303741.1_00125
OG0000002	MCV_MP1_RBIV_KC244182.1_00008	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	MCV_MP1_RBIV_KC244182.1_00014	Irido_IIV6_AF303741.1_00035
OG0000004	MCV_MP1_RBIV_KC244182.1_00112	Irido_IIV6_AF303741.1_00080
OG0000005	MCV_MP1_RBIV_KC244182.1_00090	Irido_IIV6_AF303741.1_00149
OG0000006	MCV_MP1_RBIV_KC244182.1_00028	Irido_IIV6_AF303741.1_00165
OG0000007	MCV_MP1_RBIV_KC244182.1_00076	Irido_IIV6_AF303741.1_00132
OG0000008	MCV_MP1_RBIV_KC244182.1_00114	Irido_IIV6_AF303741.1_00176
OG0000009	MCV_MP1_RBIV_KC244182.1_00095	Irido_IIV6_AF303741.1_00129
OG0000011	MCV_MP1_RBIV_KC244182.1_00086	Irido_IIV6_AF303741.1_00137
OG0000012	MCV_MP1_RBIV_KC244182.1_00034	Irido_IIV6_AF303741.1_00189
OG0000013	MCV_MP1_RBIV_KC244182.1_00107	Irido_IIV6_AF303741.1_00081
OG0000014	MCV_MP1_RBIV_KC244182.1_00087	Irido_IIV6_AF303741.1_00062
OG0000015	MCV_MP1_RBIV_KC244182.1_00030	Irido_IIV6_AF303741.1_00156
OG0000016	MCV_MP1_RBIV_KC244182.1_00022	Irido_IIV6_AF303741.1_00011
OG0000017	MCV_MP1_RBIV_KC244182.1_00056	Irido_IIV6_AF303741.1_00023
OG0000018	MCV_MP1_RBIV_KC244182.1_00121	Irido_IIV6_AF303741.1_00026
OG0000019	MCV_MP1_RBIV_KC244182.1_00063	Irido_IIV6_AF303741.1_00006
OG0000020	MCV_MP1_RBIV_KC244182.1_00122	Irido_IIV6_AF303741.1_00046
OG0000021	MCV_MP1_RBIV_KC244182.1_00032	Irido_IIV6_AF303741.1_00063
OG0000022	MCV_MP1_RBIV_KC244182.1_00005	Irido_IIV6_AF303741.1_00158
OG0000023	MCV_MP1_RBIV_KC244182.1_00043	Irido_IIV6_AF303741.1_00154
OG0000024	MCV_MP1_RBIV_KC244182.1_00025	Irido_IIV6_AF303741.1_00168
OG0000025	MCV_MP1_RBIV_KC244182.1_00064	Irido_IIV6_AF303741.1_00051
