Orthogroup	ON075463.1	L63545.1
OG0000000	ON075463.1_00029	L63545.1_00007
OG0000001	ON075463.1_00008	L63545.1_00035
OG0000002	ON075463.1_00007	L63545.1_00079
OG0000003	ON075463.1_00014	L63545.1_00076
OG0000004	ON075463.1_00109	L63545.1_00001
OG0000005	ON075463.1_00092	L63545.1_00056
OG0000006	ON075463.1_00073	L63545.1_00093
OG0000007	ON075463.1_00087	L63545.1_00090
OG0000008	ON075463.1_00028	L63545.1_00108
OG0000009	ON075463.1_00111	L63545.1_00024
OG0000011	ON075463.1_00061	L63545.1_00069
OG0000012	ON075463.1_00021	L63545.1_00071
OG0000013	ON075463.1_00055	L63545.1_00004
OG0000014	ON075463.1_00118	L63545.1_00030
OG0000015	ON075463.1_00119	L63545.1_00110
OG0000016	ON075463.1_00084	L63545.1_00073
OG0000017	ON075463.1_00032	L63545.1_00072
OG0000018	ON075463.1_00104	L63545.1_00068
OG0000019	ON075463.1_00083	L63545.1_00009
OG0000020	ON075463.1_00030	L63545.1_00098
OG0000021	ON075463.1_00005	L63545.1_00043
OG0000022	ON075463.1_00034	L63545.1_00013
OG0000023	ON075463.1_00043	L63545.1_00054
OG0000024	ON075463.1_00025	L63545.1_00015
OG0000026	ON075463.1_00107	L63545.1_00002
OG0000027	ON075463.1_00085	L63545.1_00058
OG0000028	ON075463.1_00046	L63545.1_00003
