Orthogroup	ON075463.1	NC_027778.1
OG0000000	ON075463.1_00029	NC_027778.1_00083
OG0000001	ON075463.1_00008	NC_027778.1_00062
OG0000002	ON075463.1_00007	NC_027778.1_00061
OG0000003	ON075463.1_00014	NC_027778.1_00068
OG0000004	ON075463.1_00109	NC_027778.1_00040
OG0000005	ON075463.1_00092	NC_027778.1_00036
OG0000006	ON075463.1_00073	NC_027778.1_00098
OG0000007	ON075463.1_00087	NC_027778.1_00032
OG0000008	ON075463.1_00028	NC_027778.1_00080
OG0000009	ON075463.1_00111	NC_027778.1_00039
OG0000010	ON075463.1_00074	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120
OG0000011	ON075463.1_00061	NC_027778.1_00111
OG0000012	ON075463.1_00021	NC_027778.1_00077
OG0000013	ON075463.1_00055	NC_027778.1_00018
OG0000014	ON075463.1_00118	NC_027778.1_00038
OG0000015	ON075463.1_00119	NC_027778.1_00116
OG0000016	ON075463.1_00084	NC_027778.1_00027
OG0000017	ON075463.1_00032	NC_027778.1_00132
OG0000018	ON075463.1_00104	NC_027778.1_00043
OG0000019	ON075463.1_00083	NC_027778.1_00026
OG0000020	ON075463.1_00030	NC_027778.1_00133
OG0000021	ON075463.1_00005	NC_027778.1_00106
OG0000022	ON075463.1_00034	NC_027778.1_00129
OG0000023	ON075463.1_00043	NC_027778.1_00003
OG0000024	ON075463.1_00025	NC_027778.1_00054
OG0000025	ON075463.1_00062	NC_027778.1_00094, NC_027778.1_00095
OG0000026	ON075463.1_00107	NC_027778.1_00042
OG0000027	ON075463.1_00085	NC_027778.1_00029
OG0000028	ON075463.1_00046	NC_027778.1_00006
OG0000029	ON075463.1_00059	NC_027778.1_00021
OG0000030	ON075463.1_00001	NC_027778.1_00088
OG0000031	ON075463.1_00006	NC_027778.1_00108
OG0000032	ON075463.1_00078	NC_027778.1_00100
OG0000033	ON075463.1_00086	NC_027778.1_00030
OG0000034	ON075463.1_00120	NC_027778.1_00090
OG0000035	ON075463.1_00012	NC_027778.1_00067
OG0000036	ON075463.1_00013	NC_027778.1_00115
OG0000037	ON075463.1_00018	NC_027778.1_00072
OG0000038	ON075463.1_00019	NC_027778.1_00073
OG0000039	ON075463.1_00022	NC_027778.1_00078
OG0000040	ON075463.1_00023	NC_027778.1_00070
OG0000041	ON075463.1_00031	NC_027778.1_00117
OG0000042	ON075463.1_00035	NC_027778.1_00134
OG0000043	ON075463.1_00047	NC_027778.1_00010
OG0000044	ON075463.1_00048	NC_027778.1_00011
OG0000045	ON075463.1_00053	NC_027778.1_00016
OG0000046	ON075463.1_00054	NC_027778.1_00017
OG0000047	ON075463.1_00056	NC_027778.1_00019
OG0000048	ON075463.1_00057	NC_027778.1_00031
OG0000049	ON075463.1_00058	NC_027778.1_00020
OG0000050	ON075463.1_00075	NC_027778.1_00099
OG0000051	ON075463.1_00079	NC_027778.1_00101
OG0000052	ON075463.1_00080	NC_027778.1_00126
OG0000053	ON075463.1_00091	NC_027778.1_00035
OG0000054	ON075463.1_00093	NC_027778.1_00086
OG0000055	ON075463.1_00096	NC_027778.1_00085
OG0000056	ON075463.1_00108	NC_027778.1_00041
OG0000057	ON075463.1_00113	NC_027778.1_00037
OG0000058	ON075463.1_00115	NC_027778.1_00121
OG0000059	ON075463.1_00002	NC_027778.1_00087
OG0000060	ON075463.1_00010	NC_027778.1_00064
OG0000061	ON075463.1_00017	NC_027778.1_00071
OG0000062	ON075463.1_00088	NC_027778.1_00033
OG0000116	ON075463.1_00052	NC_027778.1_00015
