Orthogroup	ON075463.1	ON740976.1
OG0000000	ON075463.1_00029	ON740976.1_00030
OG0000001	ON075463.1_00008	ON740976.1_00008
OG0000002	ON075463.1_00007	ON740976.1_00007
OG0000003	ON075463.1_00014	ON740976.1_00014
OG0000004	ON075463.1_00109	ON740976.1_00111
OG0000005	ON075463.1_00092	ON740976.1_00094
OG0000006	ON075463.1_00073	ON740976.1_00075
OG0000007	ON075463.1_00087	ON740976.1_00089
OG0000008	ON075463.1_00028	ON740976.1_00029
OG0000009	ON075463.1_00111	ON740976.1_00113
OG0000010	ON075463.1_00074	ON740976.1_00076
OG0000011	ON075463.1_00061	ON740976.1_00063
OG0000012	ON075463.1_00021	ON740976.1_00021
OG0000013	ON075463.1_00055	ON740976.1_00057
OG0000014	ON075463.1_00118	ON740976.1_00121
OG0000015	ON075463.1_00119	ON740976.1_00122
OG0000016	ON075463.1_00084	ON740976.1_00086
OG0000017	ON075463.1_00032	ON740976.1_00033
OG0000018	ON075463.1_00104	ON740976.1_00106
OG0000019	ON075463.1_00083	ON740976.1_00085
OG0000020	ON075463.1_00030	ON740976.1_00031
OG0000021	ON075463.1_00005	ON740976.1_00005
OG0000022	ON075463.1_00034	ON740976.1_00035
OG0000023	ON075463.1_00043	ON740976.1_00044
OG0000024	ON075463.1_00025	ON740976.1_00026
OG0000025	ON075463.1_00062	ON740976.1_00064
OG0000026	ON075463.1_00107	ON740976.1_00109
OG0000027	ON075463.1_00085	ON740976.1_00087
OG0000028	ON075463.1_00046	ON740976.1_00047
OG0000029	ON075463.1_00059	ON740976.1_00061
OG0000030	ON075463.1_00001	ON740976.1_00001
OG0000031	ON075463.1_00006	ON740976.1_00006
OG0000032	ON075463.1_00078	ON740976.1_00080
OG0000033	ON075463.1_00086	ON740976.1_00088
OG0000034	ON075463.1_00120	ON740976.1_00123
OG0000035	ON075463.1_00012	ON740976.1_00012
OG0000036	ON075463.1_00013	ON740976.1_00013
OG0000037	ON075463.1_00018	ON740976.1_00018
OG0000038	ON075463.1_00019	ON740976.1_00019
OG0000039	ON075463.1_00022	ON740976.1_00022
OG0000040	ON075463.1_00023	ON740976.1_00023
OG0000041	ON075463.1_00031	ON740976.1_00032
OG0000042	ON075463.1_00035	ON740976.1_00036
OG0000043	ON075463.1_00047	ON740976.1_00049
OG0000044	ON075463.1_00048	ON740976.1_00050
OG0000045	ON075463.1_00053	ON740976.1_00055
OG0000046	ON075463.1_00054	ON740976.1_00056
OG0000047	ON075463.1_00056	ON740976.1_00058
OG0000048	ON075463.1_00057	ON740976.1_00059
OG0000049	ON075463.1_00058	ON740976.1_00060
OG0000050	ON075463.1_00075	ON740976.1_00077
OG0000051	ON075463.1_00079	ON740976.1_00081
OG0000052	ON075463.1_00080	ON740976.1_00082
OG0000053	ON075463.1_00091	ON740976.1_00093
OG0000054	ON075463.1_00093	ON740976.1_00095
OG0000055	ON075463.1_00096	ON740976.1_00098
OG0000056	ON075463.1_00108	ON740976.1_00110
OG0000057	ON075463.1_00113	ON740976.1_00115
OG0000058	ON075463.1_00115	ON740976.1_00117
OG0000059	ON075463.1_00002	ON740976.1_00002
OG0000060	ON075463.1_00010	ON740976.1_00010
OG0000061	ON075463.1_00017	ON740976.1_00017
OG0000062	ON075463.1_00088	ON740976.1_00090
OG0000063	ON075463.1_00070	ON740976.1_00072
OG0000064	ON075463.1_00016	ON740976.1_00016
OG0000065	ON075463.1_00037	ON740976.1_00038
OG0000066	ON075463.1_00041	ON740976.1_00042
OG0000067	ON075463.1_00045	ON740976.1_00046
OG0000068	ON075463.1_00065	ON740976.1_00067
OG0000069	ON075463.1_00095	ON740976.1_00097
OG0000070	ON075463.1_00097	ON740976.1_00099
OG0000071	ON075463.1_00112	ON740976.1_00114
OG0000072	ON075463.1_00009	ON740976.1_00009
OG0000073	ON075463.1_00011	ON740976.1_00011
OG0000074	ON075463.1_00015	ON740976.1_00015
OG0000075	ON075463.1_00033	ON740976.1_00034
OG0000076	ON075463.1_00036	ON740976.1_00037
OG0000077	ON075463.1_00039	ON740976.1_00040
