Orthogroup	ON075463.1	MT521409.1
OG0000000	ON075463.1_00029	MT521409.1_00103
OG0000001	ON075463.1_00008	MT521409.1_00082
OG0000002	ON075463.1_00007	MT521409.1_00081
OG0000003	ON075463.1_00014	MT521409.1_00088
OG0000004	ON075463.1_00109	MT521409.1_00061
OG0000005	ON075463.1_00092	MT521409.1_00057
OG0000006	ON075463.1_00073	MT521409.1_00117
OG0000007	ON075463.1_00087	MT521409.1_00053
OG0000008	ON075463.1_00028	MT521409.1_00100
OG0000009	ON075463.1_00111	MT521409.1_00060
OG0000010	ON075463.1_00074	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132
OG0000011	ON075463.1_00061	MT521409.1_00129
OG0000012	ON075463.1_00021	MT521409.1_00097
OG0000013	ON075463.1_00055	MT521409.1_00039
OG0000014	ON075463.1_00118	MT521409.1_00059
OG0000015	ON075463.1_00119	MT521409.1_00134
OG0000016	ON075463.1_00084	MT521409.1_00048
OG0000017	ON075463.1_00032	MT521409.1_00011
OG0000018	ON075463.1_00104	MT521409.1_00064
OG0000019	ON075463.1_00083	MT521409.1_00047
OG0000020	ON075463.1_00030	MT521409.1_00012
OG0000021	ON075463.1_00005	MT521409.1_00125
OG0000022	ON075463.1_00034	MT521409.1_00008
OG0000023	ON075463.1_00043	MT521409.1_00024
OG0000024	ON075463.1_00025	MT521409.1_00074
OG0000025	ON075463.1_00062	MT521409.1_00114
OG0000026	ON075463.1_00107	MT521409.1_00063
OG0000027	ON075463.1_00085	MT521409.1_00050
OG0000028	ON075463.1_00046	MT521409.1_00027
OG0000029	ON075463.1_00059	MT521409.1_00042
OG0000030	ON075463.1_00001	MT521409.1_00108
OG0000031	ON075463.1_00006	MT521409.1_00127
OG0000032	ON075463.1_00078	MT521409.1_00119
OG0000033	ON075463.1_00086	MT521409.1_00051
OG0000034	ON075463.1_00120	MT521409.1_00110
OG0000035	ON075463.1_00012	MT521409.1_00087
OG0000036	ON075463.1_00013	MT521409.1_00133
OG0000037	ON075463.1_00018	MT521409.1_00092
OG0000038	ON075463.1_00019	MT521409.1_00093
OG0000039	ON075463.1_00022	MT521409.1_00098
OG0000040	ON075463.1_00023	MT521409.1_00090
OG0000041	ON075463.1_00031	MT521409.1_00135
OG0000042	ON075463.1_00035	MT521409.1_00013
OG0000043	ON075463.1_00047	MT521409.1_00031
OG0000044	ON075463.1_00048	MT521409.1_00032
OG0000045	ON075463.1_00053	MT521409.1_00037
OG0000046	ON075463.1_00054	MT521409.1_00038
OG0000047	ON075463.1_00056	MT521409.1_00040
OG0000048	ON075463.1_00057	MT521409.1_00052
OG0000049	ON075463.1_00058	MT521409.1_00041
OG0000050	ON075463.1_00075	MT521409.1_00118
OG0000051	ON075463.1_00079	MT521409.1_00120
OG0000052	ON075463.1_00080	MT521409.1_00005
OG0000053	ON075463.1_00091	MT521409.1_00056
OG0000054	ON075463.1_00093	MT521409.1_00106
OG0000055	ON075463.1_00096	MT521409.1_00105
OG0000056	ON075463.1_00108	MT521409.1_00062
OG0000057	ON075463.1_00113	MT521409.1_00058
OG0000058	ON075463.1_00115	MT521409.1_00001
OG0000059	ON075463.1_00002	MT521409.1_00107
OG0000060	ON075463.1_00010	MT521409.1_00084
OG0000061	ON075463.1_00017	MT521409.1_00091
OG0000062	ON075463.1_00088	MT521409.1_00054
OG0000116	ON075463.1_00052	MT521409.1_00036
