Orthogroup	OK042109.1	MN562489.1
OG0000000	OK042109.1_00047	MN562489.1_00102
OG0000001	OK042109.1_00068	MN562489.1_00081
OG0000002	OK042109.1_00069	MN562489.1_00080
OG0000003	OK042109.1_00061	MN562489.1_00087
OG0000004	OK042109.1_00088	MN562489.1_00060
OG0000005	OK042109.1_00105	MN562489.1_00056
OG0000006	OK042109.1_00001	MN562489.1_00116
OG0000007	OK042109.1_00110	MN562489.1_00052
OG0000008	OK042109.1_00048	MN562489.1_00099
OG0000009	OK042109.1_00086	MN562489.1_00059
OG0000010	OK042109.1_00123	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131
OG0000011	OK042109.1_00013	MN562489.1_00128
OG0000012	OK042109.1_00054	MN562489.1_00096
OG0000013	OK042109.1_00020	MN562489.1_00038
OG0000014	OK042109.1_00078	MN562489.1_00058
OG0000015	OK042109.1_00077	MN562489.1_00133
OG0000016	OK042109.1_00113	MN562489.1_00047
OG0000017	OK042109.1_00044	MN562489.1_00011
OG0000018	OK042109.1_00093	MN562489.1_00063
OG0000019	OK042109.1_00114	MN562489.1_00046
OG0000020	OK042109.1_00046	MN562489.1_00012
OG0000021	OK042109.1_00071	MN562489.1_00124
OG0000022	OK042109.1_00042	MN562489.1_00008
OG0000023	OK042109.1_00033	MN562489.1_00023
OG0000024	OK042109.1_00051	MN562489.1_00073
OG0000026	OK042109.1_00090	MN562489.1_00062
OG0000027	OK042109.1_00112	MN562489.1_00049
OG0000028	OK042109.1_00030	MN562489.1_00026
OG0000029	OK042109.1_00015	MN562489.1_00041
OG0000030	OK042109.1_00075	MN562489.1_00107
OG0000031	OK042109.1_00070	MN562489.1_00126
OG0000032	OK042109.1_00119	MN562489.1_00118
OG0000033	OK042109.1_00111	MN562489.1_00050
OG0000034	OK042109.1_00076	MN562489.1_00109
OG0000035	OK042109.1_00063	MN562489.1_00086
OG0000036	OK042109.1_00062	MN562489.1_00132
OG0000037	OK042109.1_00057	MN562489.1_00091
OG0000038	OK042109.1_00056	MN562489.1_00092
OG0000039	OK042109.1_00053	MN562489.1_00097
OG0000040	OK042109.1_00052	MN562489.1_00089
OG0000041	OK042109.1_00045	MN562489.1_00134
OG0000042	OK042109.1_00041	MN562489.1_00013
OG0000043	OK042109.1_00028	MN562489.1_00030
OG0000044	OK042109.1_00027	MN562489.1_00031
OG0000045	OK042109.1_00022	MN562489.1_00036
OG0000046	OK042109.1_00021	MN562489.1_00037
OG0000047	OK042109.1_00019	MN562489.1_00039
OG0000048	OK042109.1_00017	MN562489.1_00051
OG0000049	OK042109.1_00016	MN562489.1_00040
OG0000050	OK042109.1_00122	MN562489.1_00117
OG0000051	OK042109.1_00118	MN562489.1_00119
OG0000052	OK042109.1_00117	MN562489.1_00005
OG0000053	OK042109.1_00106	MN562489.1_00055
OG0000054	OK042109.1_00104	MN562489.1_00105
OG0000055	OK042109.1_00101	MN562489.1_00104
OG0000056	OK042109.1_00089	MN562489.1_00061
OG0000057	OK042109.1_00084	MN562489.1_00057
OG0000058	OK042109.1_00082	MN562489.1_00001
OG0000059	OK042109.1_00074	MN562489.1_00106
OG0000060	OK042109.1_00066	MN562489.1_00083
OG0000061	OK042109.1_00058	MN562489.1_00090
OG0000062	OK042109.1_00109	MN562489.1_00053
OG0000096	OK042109.1_00080	MN562489.1_00045
OG0000114	OK042109.1_00055	MN562489.1_00095
OG0000115	OK042109.1_00065	MN562489.1_00084
OG0000116	OK042109.1_00023	MN562489.1_00035
OG0000118	OK042109.1_00108	MN562489.1_00054
