Orthogroup	OK042109.1	MF599468.1
OG0000000	OK042109.1_00047	MF599468.1_00057, MF599468.1_00056
OG0000001	OK042109.1_00068	MF599468.1_00163
OG0000002	OK042109.1_00069	MF599468.1_00152
OG0000003	OK042109.1_00061	MF599468.1_00011
OG0000004	OK042109.1_00088	MF599468.1_00092
OG0000005	OK042109.1_00105	MF599468.1_00154
OG0000006	OK042109.1_00001	MF599468.1_00010
OG0000007	OK042109.1_00110	MF599468.1_00174
OG0000008	OK042109.1_00048	MF599468.1_00030
OG0000009	OK042109.1_00086	MF599468.1_00075
OG0000011	OK042109.1_00013	MF599468.1_00149
OG0000012	OK042109.1_00054	MF599468.1_00112
OG0000013	OK042109.1_00020	MF599468.1_00033
OG0000014	OK042109.1_00078	MF599468.1_00122
OG0000015	OK042109.1_00077	MF599468.1_00009
OG0000016	OK042109.1_00113	MF599468.1_00046
OG0000017	OK042109.1_00044	MF599468.1_00035
OG0000018	OK042109.1_00093	MF599468.1_00117
OG0000019	OK042109.1_00114	MF599468.1_00106
OG0000020	OK042109.1_00046	MF599468.1_00090
OG0000021	OK042109.1_00071	MF599468.1_00116
OG0000022	OK042109.1_00042	MF599468.1_00071
OG0000023	OK042109.1_00033	MF599468.1_00171
OG0000026	OK042109.1_00090	MF599468.1_00039
OG0000047	OK042109.1_00019	MF599468.1_00013
OG0000069	OK042109.1_00102	MF599468.1_00131
