Orthogroup	OK042109.1	NC_027778.1
OG0000000	OK042109.1_00047	NC_027778.1_00083
OG0000001	OK042109.1_00068	NC_027778.1_00062
OG0000002	OK042109.1_00069	NC_027778.1_00061
OG0000003	OK042109.1_00061	NC_027778.1_00068
OG0000004	OK042109.1_00088	NC_027778.1_00040
OG0000005	OK042109.1_00105	NC_027778.1_00036
OG0000006	OK042109.1_00001	NC_027778.1_00098
OG0000007	OK042109.1_00110	NC_027778.1_00032
OG0000008	OK042109.1_00048	NC_027778.1_00080
OG0000009	OK042109.1_00086	NC_027778.1_00039
OG0000010	OK042109.1_00123	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120
OG0000011	OK042109.1_00013	NC_027778.1_00111
OG0000012	OK042109.1_00054	NC_027778.1_00077
OG0000013	OK042109.1_00020	NC_027778.1_00018
OG0000014	OK042109.1_00078	NC_027778.1_00038
OG0000015	OK042109.1_00077	NC_027778.1_00116
OG0000016	OK042109.1_00113	NC_027778.1_00027
OG0000017	OK042109.1_00044	NC_027778.1_00132
OG0000018	OK042109.1_00093	NC_027778.1_00043
OG0000019	OK042109.1_00114	NC_027778.1_00026
OG0000020	OK042109.1_00046	NC_027778.1_00133
OG0000021	OK042109.1_00071	NC_027778.1_00106
OG0000022	OK042109.1_00042	NC_027778.1_00129
OG0000023	OK042109.1_00033	NC_027778.1_00003
OG0000024	OK042109.1_00051	NC_027778.1_00054
OG0000026	OK042109.1_00090	NC_027778.1_00042
OG0000027	OK042109.1_00112	NC_027778.1_00029
OG0000028	OK042109.1_00030	NC_027778.1_00006
OG0000029	OK042109.1_00015	NC_027778.1_00021
OG0000030	OK042109.1_00075	NC_027778.1_00088
OG0000031	OK042109.1_00070	NC_027778.1_00108
OG0000032	OK042109.1_00119	NC_027778.1_00100
OG0000033	OK042109.1_00111	NC_027778.1_00030
OG0000034	OK042109.1_00076	NC_027778.1_00090
OG0000035	OK042109.1_00063	NC_027778.1_00067
OG0000036	OK042109.1_00062	NC_027778.1_00115
OG0000037	OK042109.1_00057	NC_027778.1_00072
OG0000038	OK042109.1_00056	NC_027778.1_00073
OG0000039	OK042109.1_00053	NC_027778.1_00078
OG0000040	OK042109.1_00052	NC_027778.1_00070
OG0000041	OK042109.1_00045	NC_027778.1_00117
OG0000042	OK042109.1_00041	NC_027778.1_00134
OG0000043	OK042109.1_00028	NC_027778.1_00010
OG0000044	OK042109.1_00027	NC_027778.1_00011
OG0000045	OK042109.1_00022	NC_027778.1_00016
OG0000046	OK042109.1_00021	NC_027778.1_00017
OG0000047	OK042109.1_00019	NC_027778.1_00019
OG0000048	OK042109.1_00017	NC_027778.1_00031
OG0000049	OK042109.1_00016	NC_027778.1_00020
OG0000050	OK042109.1_00122	NC_027778.1_00099
OG0000051	OK042109.1_00118	NC_027778.1_00101
OG0000052	OK042109.1_00117	NC_027778.1_00126
OG0000053	OK042109.1_00106	NC_027778.1_00035
OG0000054	OK042109.1_00104	NC_027778.1_00086
OG0000055	OK042109.1_00101	NC_027778.1_00085
OG0000056	OK042109.1_00089	NC_027778.1_00041
OG0000057	OK042109.1_00084	NC_027778.1_00037
OG0000058	OK042109.1_00082	NC_027778.1_00121
OG0000059	OK042109.1_00074	NC_027778.1_00087
OG0000060	OK042109.1_00066	NC_027778.1_00064
OG0000061	OK042109.1_00058	NC_027778.1_00071
OG0000062	OK042109.1_00109	NC_027778.1_00033
OG0000096	OK042109.1_00080	NC_027778.1_00025
OG0000114	OK042109.1_00055	NC_027778.1_00076
OG0000115	OK042109.1_00065	NC_027778.1_00065
OG0000116	OK042109.1_00023	NC_027778.1_00015
OG0000118	OK042109.1_00108	NC_027778.1_00034
