Orthogroup	HF920633.1	GQ273492.1
OG0000000	HF920633.1_00044	GQ273492.1_00030
OG0000001	HF920633.1_00069	GQ273492.1_00008
OG0000002	HF920633.1_00073	GQ273492.1_00007
OG0000003	HF920633.1_00127	GQ273492.1_00015
OG0000004	HF920633.1_00079	GQ273492.1_00108
OG0000005	HF920633.1_00085	GQ273492.1_00092
OG0000006	HF920633.1_00025	GQ273492.1_00073
OG0000007	HF920633.1_00091	GQ273492.1_00087
OG0000008	HF920633.1_00043	GQ273492.1_00029
OG0000009	HF920633.1_00122	GQ273492.1_00110
OG0000011	HF920633.1_00118	GQ273492.1_00063
OG0000012	HF920633.1_00001	GQ273492.1_00022
OG0000013	HF920633.1_00067	GQ273492.1_00056
OG0000014	HF920633.1_00138	GQ273492.1_00118
OG0000015	HF920633.1_00058	GQ273492.1_00119
OG0000016	HF920633.1_00094	GQ273492.1_00084
OG0000017	HF920633.1_00158	GQ273492.1_00033
OG0000018	HF920633.1_00003	GQ273492.1_00103
OG0000019	HF920633.1_00163	GQ273492.1_00083
OG0000020	HF920633.1_00080	GQ273492.1_00031
OG0000021	HF920633.1_00097	GQ273492.1_00005
OG0000022	HF920633.1_00175	GQ273492.1_00035
OG0000023	HF920633.1_00017	GQ273492.1_00044
OG0000024	HF920633.1_00062	GQ273492.1_00027
OG0000025	HF920633.1_00047	GQ273492.1_00064
