Orthogroup	HF920633.1	AF371960.1
OG0000000	HF920633.1_00044	AF371960.1_00031
OG0000001	HF920633.1_00069	AF371960.1_00008
OG0000002	HF920633.1_00073	AF371960.1_00007
OG0000003	HF920633.1_00127	AF371960.1_00015
OG0000004	HF920633.1_00079	AF371960.1_00112
OG0000005	HF920633.1_00085	AF371960.1_00096
OG0000006	HF920633.1_00025	AF371960.1_00078
OG0000007	HF920633.1_00091	AF371960.1_00092
OG0000008	HF920633.1_00043	AF371960.1_00030
OG0000009	HF920633.1_00122	AF371960.1_00113
OG0000011	HF920633.1_00118	AF371960.1_00064
OG0000012	HF920633.1_00001	AF371960.1_00021
OG0000013	HF920633.1_00067	AF371960.1_00057
OG0000014	HF920633.1_00138	AF371960.1_00121
OG0000015	HF920633.1_00058	AF371960.1_00122
OG0000016	HF920633.1_00094	AF371960.1_00089
OG0000017	HF920633.1_00158	AF371960.1_00034
OG0000018	HF920633.1_00003	AF371960.1_00107
OG0000019	HF920633.1_00163	AF371960.1_00088
OG0000020	HF920633.1_00080	AF371960.1_00032
OG0000021	HF920633.1_00097	AF371960.1_00005
OG0000022	HF920633.1_00175	AF371960.1_00036
OG0000023	HF920633.1_00017	AF371960.1_00045
OG0000024	HF920633.1_00062	AF371960.1_00027
OG0000025	HF920633.1_00047	AF371960.1_00065
