Orthogroup	HF920633.1	LS484712.1
OG0000000	HF920633.1_00044	LS484712.1_00114
OG0000001	HF920633.1_00069	LS484712.1_00095
OG0000002	HF920633.1_00073	LS484712.1_00142
OG0000003	HF920633.1_00127	LS484712.1_00187
OG0000005	HF920633.1_00085	LS484712.1_00256
OG0000006	HF920633.1_00025	LS484712.1_00040
OG0000007	HF920633.1_00091	LS484712.1_00050
OG0000008	HF920633.1_00043	LS484712.1_00248
OG0000009	HF920633.1_00122	LS484712.1_00130
OG0000011	HF920633.1_00118	LS484712.1_00203
OG0000012	HF920633.1_00001	LS484712.1_00200
OG0000013	HF920633.1_00067	LS484712.1_00143
OG0000014	HF920633.1_00138	LS484712.1_00202
OG0000015	HF920633.1_00058	LS484712.1_00135
OG0000016	HF920633.1_00094	LS484712.1_00048
OG0000017	HF920633.1_00158	LS484712.1_00240
OG0000018	HF920633.1_00003	LS484712.1_00053
OG0000019	HF920633.1_00163	LS484712.1_00192
OG0000020	HF920633.1_00080	LS484712.1_00188
OG0000021	HF920633.1_00097	LS484712.1_00096
OG0000022	HF920633.1_00175	LS484712.1_00194
OG0000023	HF920633.1_00017	LS484712.1_00117
OG0000024	HF920633.1_00062	LS484712.1_00149
OG0000123	HF920633.1_00130, HF920633.1_00174, HF920633.1_00007, HF920633.1_00147	LS484712.1_00198
OG0000134	HF920633.1_00135	LS484712.1_00057
OG0000135	HF920633.1_00064	LS484712.1_00197
OG0000137	HF920633.1_00132	LS484712.1_00251
OG0000138	HF920633.1_00053	LS484712.1_00063
OG0000148	HF920633.1_00026	LS484712.1_00133
OG0000153	HF920633.1_00088	LS484712.1_00211
OG0000166	HF920633.1_00134	LS484712.1_00116
OG0000167	HF920633.1_00039	LS484712.1_00113
OG0000168	HF920633.1_00105	LS484712.1_00140
OG0000169	HF920633.1_00082	LS484712.1_00195
OG0000170	HF920633.1_00169	LS484712.1_00212
OG0000171	HF920633.1_00177	LS484712.1_00112
OG0000174	HF920633.1_00046	LS484712.1_00184
OG0000193	HF920633.1_00131	LS484712.1_00196
OG0000195	HF920633.1_00146	LS484712.1_00224
OG0000198	HF920633.1_00050	LS484712.1_00060
OG0000201	HF920633.1_00035	LS484712.1_00163
OG0000202	HF920633.1_00029	LS484712.1_00120
OG0000203	HF920633.1_00121	LS484712.1_00106
OG0000214	HF920633.1_00101	LS484712.1_00052
OG0000221	HF920633.1_00018	LS484712.1_00233
OG0000293	HF920633.1_00060	LS484712.1_00207
OG0000294	HF920633.1_00159	LS484712.1_00206
OG0000295	HF920633.1_00164	LS484712.1_00201
