Orthogroup	HF920633.1	HF920637.1
OG0000000	HF920633.1_00044	HF920637.1_00129, HF920637.1_00164
OG0000001	HF920633.1_00069	HF920637.1_00059
OG0000002	HF920633.1_00073	HF920637.1_00143
OG0000003	HF920633.1_00127	HF920637.1_00159
OG0000004	HF920633.1_00079	HF920637.1_00025
OG0000005	HF920633.1_00085	HF920637.1_00221
OG0000006	HF920633.1_00025	HF920637.1_00121
OG0000007	HF920633.1_00091	HF920637.1_00172
OG0000008	HF920633.1_00043	HF920637.1_00176, HF920637.1_00175
OG0000009	HF920633.1_00122	HF920637.1_00153
OG0000011	HF920633.1_00118	HF920637.1_00217
OG0000012	HF920633.1_00001	HF920637.1_00001
OG0000013	HF920633.1_00067	HF920637.1_00017
OG0000014	HF920633.1_00138	HF920637.1_00108
OG0000015	HF920633.1_00058	HF920637.1_00152
OG0000016	HF920633.1_00094	HF920637.1_00079
OG0000017	HF920633.1_00158	HF920637.1_00073
OG0000018	HF920633.1_00003	HF920637.1_00111
OG0000019	HF920633.1_00163	HF920637.1_00197
OG0000020	HF920633.1_00080	HF920637.1_00031
OG0000021	HF920633.1_00097	HF920637.1_00041
OG0000022	HF920633.1_00175	HF920637.1_00213
OG0000023	HF920633.1_00017	HF920637.1_00033
OG0000024	HF920633.1_00062	HF920637.1_00061
OG0000025	HF920633.1_00047	HF920637.1_00156
OG0000113	HF920633.1_00145	HF920637.1_00077, HF920637.1_00148
OG0000113	HF920633.1_00086	HF920637.1_00138
OG0000119	HF920633.1_00040, HF920633.1_00117, HF920633.1_00143, HF920633.1_00057, HF920633.1_00107, HF920633.1_00172, HF920633.1_00170	HF920637.1_00158, HF920637.1_00208, HF920637.1_00130, HF920637.1_00102, HF920637.1_00096, HF920637.1_00206, HF920637.1_00184, HF920637.1_00034
OG0000122	HF920633.1_00116	HF920637.1_00183
OG0000123	HF920633.1_00130, HF920633.1_00174, HF920633.1_00007	HF920637.1_00029
OG0000123	HF920633.1_00147	HF920637.1_00198
OG0000133	HF920633.1_00004	HF920637.1_00058, HF920637.1_00093, HF920637.1_00094, HF920637.1_00199, HF920637.1_00201, HF920637.1_00057, HF920637.1_00216
OG0000134	HF920633.1_00135	HF920637.1_00219
OG0000135	HF920633.1_00064	HF920637.1_00014
OG0000137	HF920633.1_00132	HF920637.1_00105
OG0000138	HF920633.1_00053	HF920637.1_00181
OG0000139	HF920633.1_00156	HF920637.1_00123
OG0000148	HF920633.1_00026	HF920637.1_00060
OG0000149	HF920633.1_00014, HF920633.1_00027, HF920633.1_00153, HF920633.1_00092	HF920637.1_00084
OG0000149	HF920633.1_00104	HF920637.1_00169
OG0000152	HF920633.1_00019, HF920633.1_00100, HF920633.1_00099, HF920633.1_00129	HF920637.1_00151
OG0000153	HF920633.1_00088	HF920637.1_00011, HF920637.1_00180
OG0000154	HF920633.1_00114	HF920637.1_00162, HF920637.1_00071
OG0000155	HF920633.1_00036	HF920637.1_00168
OG0000156	HF920633.1_00106	HF920637.1_00150
OG0000165	HF920633.1_00030	HF920637.1_00116
OG0000166	HF920633.1_00134	HF920637.1_00056
OG0000167	HF920633.1_00039	HF920637.1_00140
OG0000168	HF920633.1_00105	HF920637.1_00095
OG0000169	HF920633.1_00082	HF920637.1_00049
OG0000170	HF920633.1_00169	HF920637.1_00120
OG0000171	HF920633.1_00177	HF920637.1_00045
OG0000174	HF920633.1_00046	HF920637.1_00067
OG0000175	HF920633.1_00031, HF920633.1_00161	HF920637.1_00069
OG0000185	HF920633.1_00128	HF920637.1_00020
OG0000186	HF920633.1_00110	HF920637.1_00139
OG0000187	HF920633.1_00149	HF920637.1_00100
OG0000188	HF920633.1_00165	HF920637.1_00212
OG0000189	HF920633.1_00103	HF920637.1_00047
OG0000190	HF920633.1_00020, HF920633.1_00021	HF920637.1_00048
OG0000192	HF920633.1_00022	HF920637.1_00085
OG0000193	HF920633.1_00131	HF920637.1_00019
OG0000194	HF920633.1_00120	HF920637.1_00193
OG0000195	HF920633.1_00146	HF920637.1_00043
OG0000196	HF920633.1_00056	HF920637.1_00160
OG0000197	HF920633.1_00123	HF920637.1_00192
OG0000198	HF920633.1_00050	HF920637.1_00070
OG0000199	HF920633.1_00098	HF920637.1_00194
OG0000201	HF920633.1_00035	HF920637.1_00035
OG0000202	HF920633.1_00029	HF920637.1_00009
OG0000203	HF920633.1_00121	HF920637.1_00149
OG0000204	HF920633.1_00125	HF920637.1_00005
OG0000210	HF920633.1_00139	HF920637.1_00024
OG0000214	HF920633.1_00101	HF920637.1_00215
OG0000216	HF920633.1_00008	HF920637.1_00211
OG0000218	HF920633.1_00063	HF920637.1_00188
OG0000219	HF920633.1_00160	HF920637.1_00187
OG0000220	HF920633.1_00061	HF920637.1_00074
OG0000222	HF920633.1_00023	HF920637.1_00204
OG0000223	HF920633.1_00102	HF920637.1_00124
OG0000224	HF920633.1_00074	HF920637.1_00144
OG0000225	HF920633.1_00087	HF920637.1_00167
OG0000226	HF920633.1_00041	HF920637.1_00040
OG0000227	HF920633.1_00013	HF920637.1_00195
OG0000228	HF920633.1_00113	HF920637.1_00012
OG0000229	HF920633.1_00037	HF920637.1_00022
OG0000230	HF920633.1_00155	HF920637.1_00021
OG0000397	HF920633.1_00112	HF920637.1_00170
OG0000400	HF920633.1_00137	HF920637.1_00027
