Orthogroup	HF920633.1	AY532606.1
OG0000000	HF920633.1_00044	AY532606.1_00030
OG0000001	HF920633.1_00069	AY532606.1_00007
OG0000002	HF920633.1_00073	AY532606.1_00006
OG0000003	HF920633.1_00127	AY532606.1_00014
OG0000004	HF920633.1_00079	AY532606.1_00116, AY532606.1_00117
OG0000005	HF920633.1_00085	AY532606.1_00099, AY532606.1_00098
OG0000006	HF920633.1_00025	AY532606.1_00078
OG0000007	HF920633.1_00091	AY532606.1_00093
OG0000008	HF920633.1_00043	AY532606.1_00029
OG0000009	HF920633.1_00122	AY532606.1_00120, AY532606.1_00119
OG0000011	HF920633.1_00118	AY532606.1_00064
OG0000012	HF920633.1_00001	AY532606.1_00020
OG0000013	HF920633.1_00067	AY532606.1_00057
OG0000014	HF920633.1_00138	AY532606.1_00125
OG0000015	HF920633.1_00058	AY532606.1_00126
OG0000016	HF920633.1_00094	AY532606.1_00089
OG0000017	HF920633.1_00158	AY532606.1_00033
OG0000018	HF920633.1_00003	AY532606.1_00111
OG0000019	HF920633.1_00163	AY532606.1_00088
OG0000020	HF920633.1_00080	AY532606.1_00031
OG0000021	HF920633.1_00097	AY532606.1_00004
OG0000022	HF920633.1_00175	AY532606.1_00035
OG0000024	HF920633.1_00062	AY532606.1_00026
OG0000025	HF920633.1_00047	AY532606.1_00066, AY532606.1_00065
