Orthogroup	AY521625.1	ON743042.1
OG0000000	AY521625.1_00091	ON743042.1_00031
OG0000001	AY521625.1_00064	ON743042.1_00007
OG0000003	AY521625.1_00077	ON743042.1_00008
OG0000004	AY521625.1_00130	ON743042.1_00015
OG0000005	AY521625.1_00085	ON743042.1_00030
OG0000006	AY521625.1_00051	ON743042.1_00077
OG0000007	AY521625.1_00016	ON743042.1_00091
OG0000008	AY521625.1_00069, AY521625.1_00070	ON743042.1_00113
OG0000009	AY521625.1_00142	ON743042.1_00115
OG0000010	AY521625.1_00054	ON743042.1_00005
OG0000011	AY521625.1_00110	ON743042.1_00022
OG0000012	AY521625.1_00074	ON743042.1_00032
OG0000013	AY521625.1_00059	ON743042.1_00034
OG0000014	AY521625.1_00065	ON743042.1_00036
OG0000015	AY521625.1_00048	ON743042.1_00059
OG0000016	AY521625.1_00053	ON743042.1_00065
OG0000017	AY521625.1_00086	ON743042.1_00087
OG0000018	AY521625.1_00073	ON743042.1_00088
OG0000019	AY521625.1_00047	ON743042.1_00108
OG0000020	AY521625.1_00115	ON743042.1_00123
OG0000021	AY521625.1_00035	ON743042.1_00124
OG0000022	AY521625.1_00062	ON743042.1_00046
OG0000023	AY521625.1_00100	ON743042.1_00096
OG0000024	AY521625.1_00060	ON743042.1_00111
OG0000026	AY521625.1_00022	ON743042.1_00089
OG0000030	AY521625.1_00004	ON743042.1_00001
