Orthogroup	AY521625.1	OL310752.1
OG0000000	AY521625.1_00091	OL310752.1_00108, OL310752.1_00113
OG0000001	AY521625.1_00064	OL310752.1_00019
OG0000003	AY521625.1_00077	OL310752.1_00018
OG0000004	AY521625.1_00130	OL310752.1_00012
OG0000005	AY521625.1_00085	OL310752.1_00107
OG0000006	AY521625.1_00051	OL310752.1_00078
OG0000007	AY521625.1_00016	OL310752.1_00042
OG0000008	AY521625.1_00069, AY521625.1_00070	OL310752.1_00060
OG0000009	AY521625.1_00142	OL310752.1_00116
OG0000010	AY521625.1_00054	OL310752.1_00021
OG0000011	AY521625.1_00110	OL310752.1_00004
OG0000012	AY521625.1_00074	OL310752.1_00114
OG0000013	AY521625.1_00059	OL310752.1_00085
OG0000014	AY521625.1_00065	OL310752.1_00083
OG0000015	AY521625.1_00048	OL310752.1_00096
OG0000016	AY521625.1_00053	OL310752.1_00027
OG0000017	AY521625.1_00086	OL310752.1_00046
OG0000018	AY521625.1_00073	OL310752.1_00045
OG0000019	AY521625.1_00047	OL310752.1_00065
OG0000020	AY521625.1_00115	OL310752.1_00071
OG0000021	AY521625.1_00035	OL310752.1_00072
OG0000022	AY521625.1_00062	OL310752.1_00052
OG0000023	AY521625.1_00100	OL310752.1_00036
OG0000024	AY521625.1_00060	OL310752.1_00062
OG0000026	AY521625.1_00022	OL310752.1_00044
OG0000030	AY521625.1_00004	OL310752.1_00074
