Orthogroup	AY521625.1	NC_027778.1
OG0000000	AY521625.1_00091	NC_027778.1_00083
OG0000001	AY521625.1_00064	NC_027778.1_00061
OG0000003	AY521625.1_00077	NC_027778.1_00062
OG0000004	AY521625.1_00130	NC_027778.1_00068
OG0000005	AY521625.1_00085	NC_027778.1_00080
OG0000006	AY521625.1_00051	NC_027778.1_00098
OG0000007	AY521625.1_00016	NC_027778.1_00032
OG0000008	AY521625.1_00069, AY521625.1_00070	NC_027778.1_00040
OG0000009	AY521625.1_00142	NC_027778.1_00039
OG0000010	AY521625.1_00054	NC_027778.1_00106
OG0000011	AY521625.1_00110	NC_027778.1_00077
OG0000012	AY521625.1_00074	NC_027778.1_00133
OG0000013	AY521625.1_00059	NC_027778.1_00132
OG0000014	AY521625.1_00065	NC_027778.1_00129
OG0000015	AY521625.1_00048	NC_027778.1_00018
OG0000016	AY521625.1_00053	NC_027778.1_00111
OG0000017	AY521625.1_00086	NC_027778.1_00026
OG0000018	AY521625.1_00073	NC_027778.1_00027
OG0000019	AY521625.1_00047	NC_027778.1_00043
OG0000020	AY521625.1_00115	NC_027778.1_00038
OG0000021	AY521625.1_00035	NC_027778.1_00116
OG0000022	AY521625.1_00062	NC_027778.1_00003
OG0000023	AY521625.1_00100	NC_027778.1_00036
OG0000024	AY521625.1_00060	NC_027778.1_00042
OG0000026	AY521625.1_00022	NC_027778.1_00029
OG0000030	AY521625.1_00004	NC_027778.1_00088
OG0000136	AY521625.1_00046	NC_027778.1_00130, NC_027778.1_00050
OG0000146	AY521625.1_00002	NC_027778.1_00119
