Orthogroup	AY521625.1	MT798582.1
OG0000000	AY521625.1_00091	MT798582.1_00076
OG0000001	AY521625.1_00064	MT798582.1_00019
OG0000003	AY521625.1_00077	MT798582.1_00018
OG0000004	AY521625.1_00130	MT798582.1_00012
OG0000005	AY521625.1_00085	MT798582.1_00077
OG0000006	AY521625.1_00051	MT798582.1_00088
OG0000007	AY521625.1_00016	MT798582.1_00116
OG0000008	AY521625.1_00069, AY521625.1_00070	MT798582.1_00037
OG0000009	AY521625.1_00142	MT798582.1_00036
OG0000010	AY521625.1_00054	MT798582.1_00021
OG0000011	AY521625.1_00110	MT798582.1_00004
OG0000012	AY521625.1_00074	MT798582.1_00075
OG0000013	AY521625.1_00059	MT798582.1_00073
OG0000014	AY521625.1_00065	MT798582.1_00071
OG0000015	AY521625.1_00048	MT798582.1_00049
OG0000016	AY521625.1_00053	MT798582.1_00100
OG0000017	AY521625.1_00086	MT798582.1_00120
OG0000018	AY521625.1_00073	MT798582.1_00119
OG0000019	AY521625.1_00047	MT798582.1_00042
OG0000020	AY521625.1_00115	MT798582.1_00028
OG0000021	AY521625.1_00035	MT798582.1_00027
OG0000022	AY521625.1_00062	MT798582.1_00062
OG0000023	AY521625.1_00100	MT798582.1_00111
OG0000024	AY521625.1_00060	MT798582.1_00039
OG0000026	AY521625.1_00022	MT798582.1_00118
OG0000030	AY521625.1_00004	MT798582.1_00025
