Orthogroup	AY521625.1	LS484712.1
OG0000000	AY521625.1_00091	LS484712.1_00114
OG0000001	AY521625.1_00064	LS484712.1_00142
OG0000003	AY521625.1_00077	LS484712.1_00095
OG0000004	AY521625.1_00130	LS484712.1_00187
OG0000005	AY521625.1_00085	LS484712.1_00248
OG0000006	AY521625.1_00051	LS484712.1_00040
OG0000007	AY521625.1_00016	LS484712.1_00234, LS484712.1_00050
OG0000009	AY521625.1_00142	LS484712.1_00130
OG0000010	AY521625.1_00054	LS484712.1_00096
OG0000011	AY521625.1_00110	LS484712.1_00200
OG0000012	AY521625.1_00074	LS484712.1_00188
OG0000013	AY521625.1_00059	LS484712.1_00240
OG0000014	AY521625.1_00065	LS484712.1_00194
OG0000015	AY521625.1_00048	LS484712.1_00143
OG0000016	AY521625.1_00053	LS484712.1_00203
OG0000017	AY521625.1_00086	LS484712.1_00192
OG0000018	AY521625.1_00073	LS484712.1_00048
OG0000019	AY521625.1_00047	LS484712.1_00053
OG0000020	AY521625.1_00115	LS484712.1_00202
OG0000021	AY521625.1_00035	LS484712.1_00135
OG0000022	AY521625.1_00062	LS484712.1_00117
OG0000137	AY521625.1_00098	LS484712.1_00057
OG0000138	AY521625.1_00102	LS484712.1_00197
OG0000147	AY521625.1_00042	LS484712.1_00149
OG0000148	AY521625.1_00056	LS484712.1_00251
OG0000154	AY521625.1_00133	LS484712.1_00133
