Orthogroup	AY521625.1	AF371960.1
OG0000000	AY521625.1_00091	AF371960.1_00031
OG0000001	AY521625.1_00064	AF371960.1_00007
OG0000003	AY521625.1_00077	AF371960.1_00008
OG0000004	AY521625.1_00130	AF371960.1_00015
OG0000005	AY521625.1_00085	AF371960.1_00030
OG0000006	AY521625.1_00051	AF371960.1_00078
OG0000007	AY521625.1_00016	AF371960.1_00092
OG0000008	AY521625.1_00069, AY521625.1_00070	AF371960.1_00112
OG0000009	AY521625.1_00142	AF371960.1_00113
OG0000010	AY521625.1_00054	AF371960.1_00005
OG0000011	AY521625.1_00110	AF371960.1_00021
OG0000012	AY521625.1_00074	AF371960.1_00032
OG0000013	AY521625.1_00059	AF371960.1_00034
OG0000014	AY521625.1_00065	AF371960.1_00036
OG0000015	AY521625.1_00048	AF371960.1_00057
OG0000016	AY521625.1_00053	AF371960.1_00064
OG0000017	AY521625.1_00086	AF371960.1_00088
OG0000018	AY521625.1_00073	AF371960.1_00089
OG0000019	AY521625.1_00047	AF371960.1_00107
OG0000020	AY521625.1_00115	AF371960.1_00121
OG0000021	AY521625.1_00035	AF371960.1_00122
OG0000022	AY521625.1_00062	AF371960.1_00045
OG0000023	AY521625.1_00100	AF371960.1_00096
OG0000024	AY521625.1_00060	AF371960.1_00110
OG0000026	AY521625.1_00022	AF371960.1_00090
OG0000030	AY521625.1_00004	AF371960.1_00001
