Orthogroup	AY521625.1	MK689686.1
OG0000000	AY521625.1_00091	MK689686.1_00029
OG0000001	AY521625.1_00064	MK689686.1_00007
OG0000003	AY521625.1_00077	MK689686.1_00008
OG0000004	AY521625.1_00130	MK689686.1_00014
OG0000005	AY521625.1_00085	MK689686.1_00028
OG0000006	AY521625.1_00051	MK689686.1_00074
OG0000007	AY521625.1_00016	MK689686.1_00088
OG0000008	AY521625.1_00069, AY521625.1_00070	MK689686.1_00110
OG0000009	AY521625.1_00142	MK689686.1_00112
OG0000010	AY521625.1_00054	MK689686.1_00005
OG0000011	AY521625.1_00110	MK689686.1_00021
OG0000012	AY521625.1_00074	MK689686.1_00030
OG0000013	AY521625.1_00059	MK689686.1_00032
OG0000014	AY521625.1_00065	MK689686.1_00034
OG0000015	AY521625.1_00048	MK689686.1_00056
OG0000016	AY521625.1_00053	MK689686.1_00062
OG0000017	AY521625.1_00086	MK689686.1_00084
OG0000018	AY521625.1_00073	MK689686.1_00085
OG0000019	AY521625.1_00047	MK689686.1_00105
OG0000020	AY521625.1_00115	MK689686.1_00120
OG0000021	AY521625.1_00035	MK689686.1_00121
OG0000022	AY521625.1_00062	MK689686.1_00043
OG0000023	AY521625.1_00100	MK689686.1_00093
OG0000024	AY521625.1_00060	MK689686.1_00108
OG0000026	AY521625.1_00022	MK689686.1_00086
OG0000030	AY521625.1_00004	MK689686.1_00001
