Orthogroup	AY521625.1	ON740976.1
OG0000000	AY521625.1_00091	ON740976.1_00030
OG0000001	AY521625.1_00064	ON740976.1_00007
OG0000003	AY521625.1_00077	ON740976.1_00008
OG0000004	AY521625.1_00130	ON740976.1_00014
OG0000005	AY521625.1_00085	ON740976.1_00029
OG0000006	AY521625.1_00051	ON740976.1_00075
OG0000007	AY521625.1_00016	ON740976.1_00089
OG0000008	AY521625.1_00069, AY521625.1_00070	ON740976.1_00111
OG0000009	AY521625.1_00142	ON740976.1_00113
OG0000010	AY521625.1_00054	ON740976.1_00005
OG0000011	AY521625.1_00110	ON740976.1_00021
OG0000012	AY521625.1_00074	ON740976.1_00031
OG0000013	AY521625.1_00059	ON740976.1_00033
OG0000014	AY521625.1_00065	ON740976.1_00035
OG0000015	AY521625.1_00048	ON740976.1_00057
OG0000016	AY521625.1_00053	ON740976.1_00063
OG0000017	AY521625.1_00086	ON740976.1_00085
OG0000018	AY521625.1_00073	ON740976.1_00086
OG0000019	AY521625.1_00047	ON740976.1_00106
OG0000020	AY521625.1_00115	ON740976.1_00121
OG0000021	AY521625.1_00035	ON740976.1_00122
OG0000022	AY521625.1_00062	ON740976.1_00044
OG0000023	AY521625.1_00100	ON740976.1_00094
OG0000024	AY521625.1_00060	ON740976.1_00109
OG0000026	AY521625.1_00022	ON740976.1_00087
OG0000030	AY521625.1_00004	ON740976.1_00001
