Orthogroup	AY894343.1	ON075463.1
OG0000000	AY894343.1_00029	ON075463.1_00029
OG0000001	AY894343.1_00008	ON075463.1_00008
OG0000002	AY894343.1_00007	ON075463.1_00007
OG0000003	AY894343.1_00015	ON075463.1_00014
OG0000004	AY894343.1_00113	ON075463.1_00109
OG0000005	AY894343.1_00096	ON075463.1_00092
OG0000006	AY894343.1_00076	ON075463.1_00073
OG0000007	AY894343.1_00090	ON075463.1_00087
OG0000008	AY894343.1_00028	ON075463.1_00028
OG0000009	AY894343.1_00115	ON075463.1_00111
OG0000010	AY894343.1_00077	ON075463.1_00074
OG0000011	AY894343.1_00063	ON075463.1_00061
OG0000012	AY894343.1_00021	ON075463.1_00021
OG0000013	AY894343.1_00056	ON075463.1_00055
OG0000014	AY894343.1_00123	ON075463.1_00118
OG0000015	AY894343.1_00124	ON075463.1_00119
OG0000016	AY894343.1_00087	ON075463.1_00084
OG0000017	AY894343.1_00032	ON075463.1_00032
OG0000018	AY894343.1_00108	ON075463.1_00104
OG0000019	AY894343.1_00086	ON075463.1_00083
OG0000020	AY894343.1_00030	ON075463.1_00030
OG0000021	AY894343.1_00005	ON075463.1_00005
OG0000022	AY894343.1_00034	ON075463.1_00034
OG0000023	AY894343.1_00043	ON075463.1_00043
OG0000024	AY894343.1_00025	ON075463.1_00025
OG0000025	AY894343.1_00064	ON075463.1_00062
OG0000026	AY894343.1_00111	ON075463.1_00107
OG0000027	AY894343.1_00088	ON075463.1_00085
OG0000028	AY894343.1_00046	ON075463.1_00046
OG0000029	AY894343.1_00060	ON075463.1_00059
OG0000030	AY894343.1_00001	ON075463.1_00001
OG0000031	AY894343.1_00006	ON075463.1_00006
OG0000032	AY894343.1_00081	ON075463.1_00078
OG0000033	AY894343.1_00089	ON075463.1_00086
OG0000034	AY894343.1_00125	ON075463.1_00120
OG0000035	AY894343.1_00013	ON075463.1_00012
OG0000036	AY894343.1_00014	ON075463.1_00013
OG0000037	AY894343.1_00019	ON075463.1_00018
OG0000038	AY894343.1_00020	ON075463.1_00019
OG0000039	AY894343.1_00022	ON075463.1_00022
OG0000040	AY894343.1_00023	ON075463.1_00023
OG0000041	AY894343.1_00031	ON075463.1_00031
OG0000042	AY894343.1_00035	ON075463.1_00035
OG0000043	AY894343.1_00048	ON075463.1_00047
OG0000044	AY894343.1_00049	ON075463.1_00048
OG0000045	AY894343.1_00054	ON075463.1_00053
OG0000046	AY894343.1_00055	ON075463.1_00054
OG0000047	AY894343.1_00057	ON075463.1_00056
OG0000048	AY894343.1_00058	ON075463.1_00057
OG0000049	AY894343.1_00059	ON075463.1_00058
OG0000050	AY894343.1_00078	ON075463.1_00075
OG0000051	AY894343.1_00082	ON075463.1_00079
OG0000052	AY894343.1_00083	ON075463.1_00080
OG0000053	AY894343.1_00095	ON075463.1_00091
OG0000054	AY894343.1_00097	ON075463.1_00093
OG0000055	AY894343.1_00100	ON075463.1_00096
OG0000056	AY894343.1_00112	ON075463.1_00108
OG0000057	AY894343.1_00117	ON075463.1_00113
OG0000058	AY894343.1_00119	ON075463.1_00115
OG0000059	AY894343.1_00002	ON075463.1_00002
OG0000060	AY894343.1_00010	ON075463.1_00010
OG0000061	AY894343.1_00018	ON075463.1_00017
OG0000062	AY894343.1_00091	ON075463.1_00088
OG0000063	AY894343.1_00072	ON075463.1_00070
OG0000064	AY894343.1_00017	ON075463.1_00016
OG0000065	AY894343.1_00037	ON075463.1_00037
OG0000066	AY894343.1_00041	ON075463.1_00041
OG0000067	AY894343.1_00045	ON075463.1_00045
OG0000068	AY894343.1_00067	ON075463.1_00065
OG0000069	AY894343.1_00099	ON075463.1_00095
OG0000070	AY894343.1_00101	ON075463.1_00097
OG0000071	AY894343.1_00116	ON075463.1_00112
OG0000072	AY894343.1_00009	ON075463.1_00009
OG0000073	AY894343.1_00011	ON075463.1_00011
OG0000074	AY894343.1_00016	ON075463.1_00015
OG0000075	AY894343.1_00033	ON075463.1_00033
OG0000076	AY894343.1_00036	ON075463.1_00036
OG0000077	AY894343.1_00039	ON075463.1_00039
OG0000078	AY894343.1_00040	ON075463.1_00040
