Orthogroup	LS484712.1	L63545.1
OG0000000	LS484712.1_00114	L63545.1_00007
OG0000001	LS484712.1_00095	L63545.1_00035
OG0000002	LS484712.1_00142	L63545.1_00079
OG0000003	LS484712.1_00187	L63545.1_00076
OG0000005	LS484712.1_00256	L63545.1_00056
OG0000006	LS484712.1_00040	L63545.1_00093
OG0000007	LS484712.1_00234, LS484712.1_00050	L63545.1_00090
OG0000008	LS484712.1_00248	L63545.1_00108
OG0000009	LS484712.1_00130	L63545.1_00024
OG0000011	LS484712.1_00203	L63545.1_00069
OG0000012	LS484712.1_00200	L63545.1_00071
OG0000013	LS484712.1_00143	L63545.1_00004
OG0000014	LS484712.1_00202	L63545.1_00030
OG0000015	LS484712.1_00135	L63545.1_00110
OG0000016	LS484712.1_00048	L63545.1_00073
OG0000017	LS484712.1_00240	L63545.1_00072
OG0000018	LS484712.1_00053	L63545.1_00068
OG0000019	LS484712.1_00192	L63545.1_00009
OG0000020	LS484712.1_00188	L63545.1_00098
OG0000021	LS484712.1_00096	L63545.1_00043
OG0000022	LS484712.1_00194	L63545.1_00013
OG0000023	LS484712.1_00117	L63545.1_00054
OG0000024	LS484712.1_00149	L63545.1_00015
OG0000134	LS484712.1_00057	L63545.1_00092
OG0000135	LS484712.1_00197	L63545.1_00016
OG0000137	LS484712.1_00251	L63545.1_00100
OG0000138	LS484712.1_00063	L63545.1_00023
