Orthogroup	LS484712.1	NC_005946.1
OG0000000	LS484712.1_00114	NC_005946.1_00010
OG0000001	LS484712.1_00095	NC_005946.1_00053
OG0000002	LS484712.1_00142	NC_005946.1_00091
OG0000003	LS484712.1_00187	NC_005946.1_00057
OG0000005	LS484712.1_00256	NC_005946.1_00014
OG0000006	LS484712.1_00040	NC_005946.1_00042
OG0000007	LS484712.1_00234, LS484712.1_00050	NC_005946.1_00002
OG0000008	LS484712.1_00248	NC_005946.1_00095
OG0000009	LS484712.1_00130	NC_005946.1_00092
OG0000011	LS484712.1_00203	NC_005946.1_00011
OG0000012	LS484712.1_00200	NC_005946.1_00060
OG0000013	LS484712.1_00143	NC_005946.1_00022
OG0000014	LS484712.1_00202	NC_005946.1_00016
OG0000015	LS484712.1_00135	NC_005946.1_00021
OG0000016	LS484712.1_00048	NC_005946.1_00082
OG0000017	LS484712.1_00240	NC_005946.1_00087
OG0000018	LS484712.1_00053	NC_005946.1_00023
OG0000019	LS484712.1_00192	NC_005946.1_00094
OG0000020	LS484712.1_00188	NC_005946.1_00083
OG0000021	LS484712.1_00096	NC_005946.1_00038
OG0000022	LS484712.1_00194	NC_005946.1_00061
OG0000023	LS484712.1_00117	NC_005946.1_00089
OG0000024	LS484712.1_00149	NC_005946.1_00067
OG0000134	LS484712.1_00057	NC_005946.1_00001
OG0000135	LS484712.1_00197	NC_005946.1_00079
OG0000137	LS484712.1_00251	NC_005946.1_00039
OG0000148	LS484712.1_00133	NC_005946.1_00054
