Orthogroup	LS484712.1	MT798582.1
OG0000000	LS484712.1_00114	MT798582.1_00076
OG0000001	LS484712.1_00095	MT798582.1_00018
OG0000002	LS484712.1_00142	MT798582.1_00019
OG0000003	LS484712.1_00187	MT798582.1_00012
OG0000005	LS484712.1_00256	MT798582.1_00111
OG0000006	LS484712.1_00040	MT798582.1_00088
OG0000007	LS484712.1_00234, LS484712.1_00050	MT798582.1_00116
OG0000008	LS484712.1_00248	MT798582.1_00077
OG0000009	LS484712.1_00130	MT798582.1_00036
OG0000011	LS484712.1_00203	MT798582.1_00100
OG0000012	LS484712.1_00200	MT798582.1_00004
OG0000013	LS484712.1_00143	MT798582.1_00049
OG0000014	LS484712.1_00202	MT798582.1_00028
OG0000015	LS484712.1_00135	MT798582.1_00027
OG0000016	LS484712.1_00048	MT798582.1_00119
OG0000017	LS484712.1_00240	MT798582.1_00073
OG0000018	LS484712.1_00053	MT798582.1_00042
OG0000019	LS484712.1_00192	MT798582.1_00120
OG0000020	LS484712.1_00188	MT798582.1_00075
OG0000021	LS484712.1_00096	MT798582.1_00021
OG0000022	LS484712.1_00194	MT798582.1_00071
OG0000023	LS484712.1_00117	MT798582.1_00062
OG0000024	LS484712.1_00149	MT798582.1_00080
OG0000068	LS484712.1_00002	MT798582.1_00096
