Orthogroup	LS484712.1	NC_027778.1
OG0000000	LS484712.1_00114	NC_027778.1_00083
OG0000001	LS484712.1_00095	NC_027778.1_00062
OG0000002	LS484712.1_00142	NC_027778.1_00061
OG0000003	LS484712.1_00187	NC_027778.1_00068
OG0000005	LS484712.1_00256	NC_027778.1_00036
OG0000006	LS484712.1_00040	NC_027778.1_00098
OG0000007	LS484712.1_00234, LS484712.1_00050	NC_027778.1_00032
OG0000008	LS484712.1_00248	NC_027778.1_00080
OG0000009	LS484712.1_00130	NC_027778.1_00039
OG0000011	LS484712.1_00203	NC_027778.1_00111
OG0000012	LS484712.1_00200	NC_027778.1_00077
OG0000013	LS484712.1_00143	NC_027778.1_00018
OG0000014	LS484712.1_00202	NC_027778.1_00038
OG0000015	LS484712.1_00135	NC_027778.1_00116
OG0000016	LS484712.1_00048	NC_027778.1_00027
OG0000017	LS484712.1_00240	NC_027778.1_00132
OG0000018	LS484712.1_00053	NC_027778.1_00043
OG0000019	LS484712.1_00192	NC_027778.1_00026
OG0000020	LS484712.1_00188	NC_027778.1_00133
OG0000021	LS484712.1_00096	NC_027778.1_00106
OG0000022	LS484712.1_00194	NC_027778.1_00129
OG0000023	LS484712.1_00117	NC_027778.1_00003
OG0000024	LS484712.1_00149	NC_027778.1_00054
OG0000211	LS484712.1_00024	NC_027778.1_00102
