Orthogroup	LS484712.1	KC244182.1
OG0000000	LS484712.1_00114	KC244182.1_00029
OG0000001	LS484712.1_00095	KC244182.1_00008
OG0000002	LS484712.1_00142	KC244182.1_00007
OG0000003	LS484712.1_00187	KC244182.1_00014
OG0000005	LS484712.1_00256	KC244182.1_00095
OG0000006	LS484712.1_00040	KC244182.1_00076
OG0000007	LS484712.1_00234, LS484712.1_00050	KC244182.1_00090
OG0000008	LS484712.1_00248	KC244182.1_00028
OG0000009	LS484712.1_00130	KC244182.1_00114
OG0000011	LS484712.1_00203	KC244182.1_00063
OG0000012	LS484712.1_00200	KC244182.1_00022
OG0000013	LS484712.1_00143	KC244182.1_00056
OG0000014	LS484712.1_00202	KC244182.1_00121
OG0000015	LS484712.1_00135	KC244182.1_00122
OG0000016	LS484712.1_00048	KC244182.1_00087
OG0000017	LS484712.1_00240	KC244182.1_00032
OG0000018	LS484712.1_00053	KC244182.1_00107
OG0000019	LS484712.1_00192	KC244182.1_00086
OG0000020	LS484712.1_00188	KC244182.1_00030
OG0000021	LS484712.1_00096	KC244182.1_00005
OG0000022	LS484712.1_00194	KC244182.1_00034
OG0000023	LS484712.1_00117	KC244182.1_00043
OG0000024	LS484712.1_00149	KC244182.1_00025
OG0000068	LS484712.1_00002	KC244182.1_00066
