Orthogroup	LS484712.1	OL774655.1
OG0000000	LS484712.1_00114	OL774655.1_00034
OG0000001	LS484712.1_00095	OL774655.1_00008
OG0000002	LS484712.1_00142	OL774655.1_00007
OG0000003	LS484712.1_00187	OL774655.1_00015
OG0000005	LS484712.1_00256	OL774655.1_00096
OG0000006	LS484712.1_00040	OL774655.1_00078
OG0000007	LS484712.1_00234, LS484712.1_00050	OL774655.1_00091
OG0000008	LS484712.1_00248	OL774655.1_00033
OG0000009	LS484712.1_00130	OL774655.1_00115
OG0000011	LS484712.1_00203	OL774655.1_00066
OG0000012	LS484712.1_00200	OL774655.1_00022
OG0000013	LS484712.1_00143	OL774655.1_00060
OG0000014	LS484712.1_00202	OL774655.1_00123
OG0000015	LS484712.1_00135	OL774655.1_00124
OG0000016	LS484712.1_00048	OL774655.1_00088
OG0000017	LS484712.1_00240	OL774655.1_00037
OG0000018	LS484712.1_00053	OL774655.1_00108
OG0000019	LS484712.1_00192	OL774655.1_00087
OG0000020	LS484712.1_00188	OL774655.1_00035
OG0000021	LS484712.1_00096	OL774655.1_00005
OG0000022	LS484712.1_00194	OL774655.1_00039
OG0000023	LS484712.1_00117	OL774655.1_00048
OG0000024	LS484712.1_00149	OL774655.1_00030
OG0000068	LS484712.1_00002	OL774655.1_00070
