Orthogroup	LS484712.1	MK098186.1
OG0000000	LS484712.1_00114	MK098186.1_00030
OG0000001	LS484712.1_00095	MK098186.1_00008
OG0000002	LS484712.1_00142	MK098186.1_00007
OG0000003	LS484712.1_00187	MK098186.1_00015
OG0000005	LS484712.1_00256	MK098186.1_00092
OG0000006	LS484712.1_00040	MK098186.1_00073
OG0000007	LS484712.1_00234, LS484712.1_00050	MK098186.1_00087
OG0000008	LS484712.1_00248	MK098186.1_00029
OG0000009	LS484712.1_00130	MK098186.1_00111
OG0000011	LS484712.1_00203	MK098186.1_00061
OG0000012	LS484712.1_00200	MK098186.1_00022
OG0000013	LS484712.1_00143	MK098186.1_00055
OG0000014	LS484712.1_00202	MK098186.1_00119
OG0000015	LS484712.1_00135	MK098186.1_00120
OG0000016	LS484712.1_00048	MK098186.1_00084
OG0000017	LS484712.1_00240	MK098186.1_00033
OG0000018	LS484712.1_00053	MK098186.1_00104
OG0000019	LS484712.1_00192	MK098186.1_00083
OG0000020	LS484712.1_00188	MK098186.1_00031
OG0000021	LS484712.1_00096	MK098186.1_00005
OG0000022	LS484712.1_00194	MK098186.1_00035
OG0000023	LS484712.1_00117	MK098186.1_00044
OG0000024	LS484712.1_00149	MK098186.1_00026
OG0000068	LS484712.1_00002	MK098186.1_00065
