Orthogroup	LS484712.1	AY779031.1
OG0000000	LS484712.1_00114	AY779031.1_00034
OG0000001	LS484712.1_00095	AY779031.1_00008
OG0000002	LS484712.1_00142	AY779031.1_00007
OG0000003	LS484712.1_00187	AY779031.1_00015, AY779031.1_00016
OG0000005	LS484712.1_00256	AY779031.1_00103
OG0000006	LS484712.1_00040	AY779031.1_00083
OG0000007	LS484712.1_00234, LS484712.1_00050	AY779031.1_00098
OG0000008	LS484712.1_00248	AY779031.1_00033
OG0000009	LS484712.1_00130	AY779031.1_00122
OG0000011	LS484712.1_00203	AY779031.1_00068
OG0000012	LS484712.1_00200	AY779031.1_00023
OG0000013	LS484712.1_00143	AY779031.1_00061
OG0000014	LS484712.1_00202	AY779031.1_00129
OG0000015	LS484712.1_00135	AY779031.1_00130
OG0000016	LS484712.1_00048	AY779031.1_00095
OG0000017	LS484712.1_00240	AY779031.1_00037
OG0000018	LS484712.1_00053	AY779031.1_00116
OG0000019	LS484712.1_00192	AY779031.1_00094
OG0000020	LS484712.1_00188	AY779031.1_00035
OG0000021	LS484712.1_00096	AY779031.1_00005
OG0000022	LS484712.1_00194	AY779031.1_00039
OG0000023	LS484712.1_00117	AY779031.1_00049
OG0000068	LS484712.1_00002	AY779031.1_00072
