Orthogroup	LS484712.1	OP009387.1
OG0000000	LS484712.1_00114	OP009387.1_00030
OG0000001	LS484712.1_00095	OP009387.1_00008
OG0000002	LS484712.1_00142	OP009387.1_00007
OG0000003	LS484712.1_00187	OP009387.1_00015
OG0000005	LS484712.1_00256	OP009387.1_00095
OG0000006	LS484712.1_00040	OP009387.1_00077
OG0000007	LS484712.1_00234, LS484712.1_00050	OP009387.1_00091
OG0000008	LS484712.1_00248	OP009387.1_00029
OG0000009	LS484712.1_00130	OP009387.1_00113
OG0000011	LS484712.1_00203	OP009387.1_00064
OG0000012	LS484712.1_00200	OP009387.1_00023
OG0000013	LS484712.1_00143	OP009387.1_00057
OG0000014	LS484712.1_00202	OP009387.1_00121
OG0000015	LS484712.1_00135	OP009387.1_00122
OG0000016	LS484712.1_00048	OP009387.1_00088
OG0000017	LS484712.1_00240	OP009387.1_00033
OG0000018	LS484712.1_00053	OP009387.1_00107
OG0000019	LS484712.1_00192	OP009387.1_00087
OG0000020	LS484712.1_00188	OP009387.1_00031
OG0000021	LS484712.1_00096	OP009387.1_00005
OG0000022	LS484712.1_00194	OP009387.1_00035
OG0000023	LS484712.1_00117	OP009387.1_00044
OG0000024	LS484712.1_00149	OP009387.1_00026
OG0000068	LS484712.1_00002	OP009387.1_00067
