Orthogroup	LS484712.1	MT521409.1
OG0000000	LS484712.1_00114	MT521409.1_00103
OG0000001	LS484712.1_00095	MT521409.1_00082
OG0000002	LS484712.1_00142	MT521409.1_00081
OG0000003	LS484712.1_00187	MT521409.1_00088
OG0000005	LS484712.1_00256	MT521409.1_00057
OG0000006	LS484712.1_00040	MT521409.1_00117
OG0000007	LS484712.1_00234, LS484712.1_00050	MT521409.1_00053
OG0000008	LS484712.1_00248	MT521409.1_00100
OG0000009	LS484712.1_00130	MT521409.1_00060
OG0000011	LS484712.1_00203	MT521409.1_00129
OG0000012	LS484712.1_00200	MT521409.1_00097
OG0000013	LS484712.1_00143	MT521409.1_00039
OG0000014	LS484712.1_00202	MT521409.1_00059
OG0000015	LS484712.1_00135	MT521409.1_00134
OG0000016	LS484712.1_00048	MT521409.1_00048
OG0000017	LS484712.1_00240	MT521409.1_00011
OG0000018	LS484712.1_00053	MT521409.1_00064
OG0000019	LS484712.1_00192	MT521409.1_00047
OG0000020	LS484712.1_00188	MT521409.1_00012
OG0000021	LS484712.1_00096	MT521409.1_00125
OG0000022	LS484712.1_00194	MT521409.1_00008
OG0000023	LS484712.1_00117	MT521409.1_00024
OG0000024	LS484712.1_00149	MT521409.1_00074
OG0000211	LS484712.1_00024	MT521409.1_00121
