Orthogroup	AY894343.1	LS484712.1
OG0000000	AY894343.1_00029	LS484712.1_00114
OG0000001	AY894343.1_00007	LS484712.1_00142
OG0000003	AY894343.1_00008	LS484712.1_00095
OG0000004	AY894343.1_00015	LS484712.1_00187
OG0000005	AY894343.1_00028	LS484712.1_00248
OG0000006	AY894343.1_00076	LS484712.1_00040
OG0000007	AY894343.1_00090	LS484712.1_00234, LS484712.1_00050
OG0000009	AY894343.1_00115	LS484712.1_00130
OG0000010	AY894343.1_00005	LS484712.1_00096
OG0000011	AY894343.1_00021	LS484712.1_00200
OG0000012	AY894343.1_00030	LS484712.1_00188
OG0000013	AY894343.1_00032	LS484712.1_00240
OG0000014	AY894343.1_00034	LS484712.1_00194
OG0000015	AY894343.1_00056	LS484712.1_00143
OG0000016	AY894343.1_00063	LS484712.1_00203
OG0000017	AY894343.1_00086	LS484712.1_00192
OG0000018	AY894343.1_00087	LS484712.1_00048
OG0000019	AY894343.1_00108	LS484712.1_00053
OG0000020	AY894343.1_00123	LS484712.1_00202
OG0000021	AY894343.1_00124	LS484712.1_00135
OG0000022	AY894343.1_00043	LS484712.1_00117
OG0000068	AY894343.1_00067	LS484712.1_00002
