Orthogroup	ON740976.1	ON075463.1
OG0000000	ON740976.1_00030	ON075463.1_00029
OG0000001	ON740976.1_00007	ON075463.1_00007
OG0000002	ON740976.1_00076	ON075463.1_00074
OG0000003	ON740976.1_00008	ON075463.1_00008
OG0000004	ON740976.1_00014	ON075463.1_00014
OG0000005	ON740976.1_00029	ON075463.1_00028
OG0000006	ON740976.1_00075	ON075463.1_00073
OG0000007	ON740976.1_00089	ON075463.1_00087
OG0000008	ON740976.1_00111	ON075463.1_00109
OG0000009	ON740976.1_00113	ON075463.1_00111
OG0000010	ON740976.1_00005	ON075463.1_00005
OG0000011	ON740976.1_00021	ON075463.1_00021
OG0000012	ON740976.1_00031	ON075463.1_00030
OG0000013	ON740976.1_00033	ON075463.1_00032
OG0000014	ON740976.1_00035	ON075463.1_00034
OG0000015	ON740976.1_00057	ON075463.1_00055
OG0000016	ON740976.1_00063	ON075463.1_00061
OG0000017	ON740976.1_00085	ON075463.1_00083
OG0000018	ON740976.1_00086	ON075463.1_00084
OG0000019	ON740976.1_00106	ON075463.1_00104
OG0000020	ON740976.1_00121	ON075463.1_00118
OG0000021	ON740976.1_00122	ON075463.1_00119
OG0000022	ON740976.1_00044	ON075463.1_00043
OG0000023	ON740976.1_00094	ON075463.1_00092
OG0000024	ON740976.1_00109	ON075463.1_00107
OG0000025	ON740976.1_00064	ON075463.1_00062
OG0000026	ON740976.1_00087	ON075463.1_00085
OG0000027	ON740976.1_00047	ON075463.1_00046
OG0000028	ON740976.1_00006	ON075463.1_00006
OG0000029	ON740976.1_00061	ON075463.1_00059
OG0000030	ON740976.1_00001	ON075463.1_00001
OG0000031	ON740976.1_00080	ON075463.1_00078
OG0000032	ON740976.1_00088	ON075463.1_00086
OG0000033	ON740976.1_00123	ON075463.1_00120
OG0000034	ON740976.1_00012	ON075463.1_00012
OG0000035	ON740976.1_00013	ON075463.1_00013
OG0000036	ON740976.1_00018	ON075463.1_00018
OG0000037	ON740976.1_00019	ON075463.1_00019
OG0000038	ON740976.1_00022	ON075463.1_00022
OG0000039	ON740976.1_00023	ON075463.1_00023
OG0000040	ON740976.1_00032	ON075463.1_00031
OG0000041	ON740976.1_00036	ON075463.1_00035
OG0000042	ON740976.1_00049	ON075463.1_00047
OG0000043	ON740976.1_00050	ON075463.1_00048
OG0000044	ON740976.1_00055	ON075463.1_00053
OG0000045	ON740976.1_00056	ON075463.1_00054
OG0000046	ON740976.1_00058	ON075463.1_00056
OG0000047	ON740976.1_00059	ON075463.1_00057
OG0000048	ON740976.1_00060	ON075463.1_00058
OG0000049	ON740976.1_00077	ON075463.1_00075
OG0000050	ON740976.1_00081	ON075463.1_00079
OG0000051	ON740976.1_00082	ON075463.1_00080
OG0000052	ON740976.1_00093	ON075463.1_00091
OG0000053	ON740976.1_00095	ON075463.1_00093
OG0000054	ON740976.1_00098	ON075463.1_00096
OG0000055	ON740976.1_00110	ON075463.1_00108
OG0000056	ON740976.1_00115	ON075463.1_00113
OG0000057	ON740976.1_00117	ON075463.1_00115
OG0000058	ON740976.1_00002	ON075463.1_00002
OG0000059	ON740976.1_00010	ON075463.1_00010
OG0000060	ON740976.1_00017	ON075463.1_00017
OG0000061	ON740976.1_00090	ON075463.1_00088
OG0000062	ON740976.1_00026	ON075463.1_00025
OG0000063	ON740976.1_00072	ON075463.1_00070
OG0000064	ON740976.1_00016	ON075463.1_00016
OG0000065	ON740976.1_00038	ON075463.1_00037
OG0000066	ON740976.1_00042	ON075463.1_00041
OG0000067	ON740976.1_00046	ON075463.1_00045
OG0000068	ON740976.1_00067	ON075463.1_00065
OG0000069	ON740976.1_00097	ON075463.1_00095
OG0000070	ON740976.1_00099	ON075463.1_00097
OG0000071	ON740976.1_00114	ON075463.1_00112
OG0000072	ON740976.1_00009	ON075463.1_00009
OG0000073	ON740976.1_00011	ON075463.1_00011
OG0000074	ON740976.1_00015	ON075463.1_00015
OG0000075	ON740976.1_00034	ON075463.1_00033
OG0000076	ON740976.1_00037	ON075463.1_00036
OG0000077	ON740976.1_00040	ON075463.1_00039
OG0000078	ON740976.1_00041	ON075463.1_00040
OG0000079	ON740976.1_00045	ON075463.1_00044
OG0000080	ON740976.1_00051	ON075463.1_00049
OG0000081	ON740976.1_00052	ON075463.1_00050
OG0000082	ON740976.1_00053	ON075463.1_00051
OG0000083	ON740976.1_00062	ON075463.1_00060
OG0000084	ON740976.1_00065	ON075463.1_00063
OG0000085	ON740976.1_00068	ON075463.1_00066
OG0000086	ON740976.1_00069	ON075463.1_00067
OG0000087	ON740976.1_00073	ON075463.1_00071
OG0000088	ON740976.1_00074	ON075463.1_00072
OG0000089	ON740976.1_00083	ON075463.1_00081
OG0000090	ON740976.1_00084	ON075463.1_00082
OG0000091	ON740976.1_00096	ON075463.1_00094
OG0000092	ON740976.1_00100	ON075463.1_00098
OG0000093	ON740976.1_00104	ON075463.1_00102
OG0000094	ON740976.1_00107	ON075463.1_00105
OG0000095	ON740976.1_00108	ON075463.1_00106
OG0000097	ON740976.1_00003	ON075463.1_00003
OG0000098	ON740976.1_00004	ON075463.1_00004
OG0000099	ON740976.1_00039	ON075463.1_00038
OG0000100	ON740976.1_00043	ON075463.1_00042
OG0000101	ON740976.1_00070	ON075463.1_00068
OG0000102	ON740976.1_00078	ON075463.1_00076
OG0000103	ON740976.1_00101	ON075463.1_00099
OG0000104	ON740976.1_00105	ON075463.1_00103
OG0000105	ON740976.1_00116	ON075463.1_00114
OG0000106	ON740976.1_00028	ON075463.1_00027
OG0000107	ON740976.1_00102	ON075463.1_00100
OG0000108	ON740976.1_00120	ON075463.1_00117
OG0000109	ON740976.1_00071	ON075463.1_00069
OG0000110	ON740976.1_00118	ON075463.1_00116
OG0000111	ON740976.1_00092	ON075463.1_00090
OG0000112	ON740976.1_00079	ON075463.1_00077
OG0000115	ON740976.1_00054	ON075463.1_00052
OG0000116	ON740976.1_00066	ON075463.1_00064
OG0000118	ON740976.1_00103	ON075463.1_00101
OG0000119	ON740976.1_00112	ON075463.1_00110
