Orthogroup	ON740976.1	AY521625.1
OG0000000	ON740976.1_00030	AY521625.1_00091
OG0000001	ON740976.1_00007	AY521625.1_00064
OG0000003	ON740976.1_00008	AY521625.1_00077
OG0000004	ON740976.1_00014	AY521625.1_00130
OG0000005	ON740976.1_00029	AY521625.1_00085
OG0000006	ON740976.1_00075	AY521625.1_00051
OG0000007	ON740976.1_00089	AY521625.1_00016
OG0000008	ON740976.1_00111	AY521625.1_00069, AY521625.1_00070
OG0000009	ON740976.1_00113	AY521625.1_00142
OG0000010	ON740976.1_00005	AY521625.1_00054
OG0000011	ON740976.1_00021	AY521625.1_00110
OG0000012	ON740976.1_00031	AY521625.1_00074
OG0000013	ON740976.1_00033	AY521625.1_00059
OG0000014	ON740976.1_00035	AY521625.1_00065
OG0000015	ON740976.1_00057	AY521625.1_00048
OG0000016	ON740976.1_00063	AY521625.1_00053
OG0000017	ON740976.1_00085	AY521625.1_00086
OG0000018	ON740976.1_00086	AY521625.1_00073
OG0000019	ON740976.1_00106	AY521625.1_00047
OG0000020	ON740976.1_00121	AY521625.1_00115
OG0000021	ON740976.1_00122	AY521625.1_00035
OG0000022	ON740976.1_00044	AY521625.1_00062
OG0000023	ON740976.1_00094	AY521625.1_00100
OG0000024	ON740976.1_00109	AY521625.1_00060
OG0000026	ON740976.1_00087	AY521625.1_00022
OG0000030	ON740976.1_00001	AY521625.1_00004
