Orthogroup	OL310752.1	MT521409.1
OG0000000	OL310752.1_00108, OL310752.1_00113	MT521409.1_00103
OG0000001	OL310752.1_00019	MT521409.1_00081
OG0000002	OL310752.1_00077, OL310752.1_00120	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132
OG0000003	OL310752.1_00018	MT521409.1_00082
OG0000004	OL310752.1_00012	MT521409.1_00088
OG0000005	OL310752.1_00107	MT521409.1_00100
OG0000006	OL310752.1_00078	MT521409.1_00117
OG0000007	OL310752.1_00042	MT521409.1_00053
OG0000008	OL310752.1_00060	MT521409.1_00061
OG0000009	OL310752.1_00116	MT521409.1_00060
OG0000010	OL310752.1_00021	MT521409.1_00125
OG0000011	OL310752.1_00004	MT521409.1_00097
OG0000012	OL310752.1_00114	MT521409.1_00012
OG0000013	OL310752.1_00085	MT521409.1_00011
OG0000014	OL310752.1_00083	MT521409.1_00008
OG0000015	OL310752.1_00096	MT521409.1_00039
OG0000016	OL310752.1_00027	MT521409.1_00129
OG0000017	OL310752.1_00046	MT521409.1_00047
OG0000018	OL310752.1_00045	MT521409.1_00048
OG0000019	OL310752.1_00065	MT521409.1_00064
OG0000020	OL310752.1_00071	MT521409.1_00059
OG0000021	OL310752.1_00072	MT521409.1_00134
OG0000022	OL310752.1_00052	MT521409.1_00024
OG0000023	OL310752.1_00036	MT521409.1_00057
OG0000024	OL310752.1_00062	MT521409.1_00063
OG0000025	OL310752.1_00028	MT521409.1_00114
OG0000026	OL310752.1_00044	MT521409.1_00050
OG0000027	OL310752.1_00087	MT521409.1_00027
OG0000028	OL310752.1_00020	MT521409.1_00127
OG0000029	OL310752.1_00025	MT521409.1_00042
OG0000030	OL310752.1_00074	MT521409.1_00108
OG0000031	OL310752.1_00124	MT521409.1_00119
OG0000032	OL310752.1_00043	MT521409.1_00051
OG0000033	OL310752.1_00073	MT521409.1_00110
OG0000034	OL310752.1_00014	MT521409.1_00087
OG0000035	OL310752.1_00013	MT521409.1_00133
OG0000036	OL310752.1_00007	MT521409.1_00092
OG0000037	OL310752.1_00006	MT521409.1_00093
OG0000038	OL310752.1_00003	MT521409.1_00098
OG0000039	OL310752.1_00002	MT521409.1_00090
OG0000040	OL310752.1_00115	MT521409.1_00135
OG0000041	OL310752.1_00082	MT521409.1_00013
OG0000042	OL310752.1_00088	MT521409.1_00031
OG0000043	OL310752.1_00089	MT521409.1_00032
OG0000044	OL310752.1_00094	MT521409.1_00037
OG0000045	OL310752.1_00095	MT521409.1_00038
OG0000046	OL310752.1_00022	MT521409.1_00040
OG0000047	OL310752.1_00023	MT521409.1_00052
OG0000048	OL310752.1_00024	MT521409.1_00041
OG0000049	OL310752.1_00121	MT521409.1_00118
OG0000050	OL310752.1_00123	MT521409.1_00120
OG0000051	OL310752.1_00049	MT521409.1_00005
OG0000052	OL310752.1_00037	MT521409.1_00056
OG0000053	OL310752.1_00035	MT521409.1_00106
OG0000054	OL310752.1_00112	MT521409.1_00105
OG0000055	OL310752.1_00061	MT521409.1_00062
OG0000056	OL310752.1_00119	MT521409.1_00058
OG0000057	OL310752.1_00067	MT521409.1_00001
OG0000058	OL310752.1_00075	MT521409.1_00107
OG0000059	OL310752.1_00016	MT521409.1_00084
OG0000060	OL310752.1_00008	MT521409.1_00091
OG0000061	OL310752.1_00041	MT521409.1_00054
OG0000062	OL310752.1_00104	MT521409.1_00074
OG0000096	OL310752.1_00069	MT521409.1_00046
OG0000113	OL310752.1_00005	MT521409.1_00096
