Orthogroup	OL310752.1	KF938901.1
OG0000000	OL310752.1_00108, OL310752.1_00113	KF938901.1_00126
OG0000001	OL310752.1_00019	KF938901.1_00044
OG0000003	OL310752.1_00018	KF938901.1_00080
OG0000004	OL310752.1_00012	KF938901.1_00005
OG0000005	OL310752.1_00107	KF938901.1_00067
OG0000006	OL310752.1_00078	KF938901.1_00072
OG0000007	OL310752.1_00042	KF938901.1_00053
OG0000008	OL310752.1_00060	KF938901.1_00043
OG0000009	OL310752.1_00116	KF938901.1_00114
OG0000010	OL310752.1_00021	KF938901.1_00124
OG0000011	OL310752.1_00004	KF938901.1_00054
OG0000012	OL310752.1_00114	KF938901.1_00047
OG0000013	OL310752.1_00085	KF938901.1_00123
OG0000014	OL310752.1_00083	KF938901.1_00023
OG0000015	OL310752.1_00096	KF938901.1_00060
OG0000016	OL310752.1_00027	KF938901.1_00092
OG0000017	OL310752.1_00046	KF938901.1_00012
OG0000018	OL310752.1_00045	KF938901.1_00046
OG0000019	OL310752.1_00065	KF938901.1_00025
OG0000020	OL310752.1_00071	KF938901.1_00074
OG0000021	OL310752.1_00072	KF938901.1_00095
OG0000022	OL310752.1_00052	KF938901.1_00031
OG0000025	OL310752.1_00028	KF938901.1_00093
