Orthogroup	OL310752.1	OK042108.1
OG0000000	OL310752.1_00108, OL310752.1_00113	OK042108.1_00047
OG0000001	OL310752.1_00019	OK042108.1_00069
OG0000002	OL310752.1_00077, OL310752.1_00120	OK042108.1_00122
OG0000003	OL310752.1_00018	OK042108.1_00068
OG0000004	OL310752.1_00012	OK042108.1_00062
OG0000005	OL310752.1_00107	OK042108.1_00048
OG0000006	OL310752.1_00078	OK042108.1_00001
OG0000007	OL310752.1_00042	OK042108.1_00109
OG0000008	OL310752.1_00060	OK042108.1_00087
OG0000009	OL310752.1_00116	OK042108.1_00085
OG0000010	OL310752.1_00021	OK042108.1_00070
OG0000011	OL310752.1_00004	OK042108.1_00055
OG0000012	OL310752.1_00114	OK042108.1_00046
OG0000013	OL310752.1_00085	OK042108.1_00044
OG0000014	OL310752.1_00083	OK042108.1_00042
OG0000015	OL310752.1_00096	OK042108.1_00020
OG0000016	OL310752.1_00027	OK042108.1_00013
OG0000017	OL310752.1_00046	OK042108.1_00113
OG0000018	OL310752.1_00045	OK042108.1_00112
OG0000019	OL310752.1_00065	OK042108.1_00092
OG0000020	OL310752.1_00071	OK042108.1_00077
OG0000021	OL310752.1_00072	OK042108.1_00076
OG0000022	OL310752.1_00052	OK042108.1_00033
OG0000023	OL310752.1_00036	OK042108.1_00104
OG0000024	OL310752.1_00062	OK042108.1_00089
OG0000025	OL310752.1_00028	OK042108.1_00012
OG0000026	OL310752.1_00044	OK042108.1_00111
OG0000027	OL310752.1_00087	OK042108.1_00030
OG0000029	OL310752.1_00025	OK042108.1_00015
OG0000030	OL310752.1_00074	OK042108.1_00074
OG0000032	OL310752.1_00043	OK042108.1_00110
OG0000033	OL310752.1_00073	OK042108.1_00075
OG0000034	OL310752.1_00014	OK042108.1_00064
OG0000035	OL310752.1_00013	OK042108.1_00063
OG0000036	OL310752.1_00007	OK042108.1_00058
OG0000037	OL310752.1_00006	OK042108.1_00057
OG0000038	OL310752.1_00003	OK042108.1_00054
OG0000039	OL310752.1_00002	OK042108.1_00053
OG0000040	OL310752.1_00115	OK042108.1_00045
OG0000041	OL310752.1_00082	OK042108.1_00041
OG0000042	OL310752.1_00088	OK042108.1_00028
OG0000043	OL310752.1_00089	OK042108.1_00027
OG0000044	OL310752.1_00094	OK042108.1_00022
OG0000045	OL310752.1_00095	OK042108.1_00021
OG0000046	OL310752.1_00022	OK042108.1_00019
OG0000047	OL310752.1_00023	OK042108.1_00018
OG0000048	OL310752.1_00024	OK042108.1_00016
OG0000049	OL310752.1_00121	OK042108.1_00121
OG0000050	OL310752.1_00123	OK042108.1_00117
OG0000051	OL310752.1_00049	OK042108.1_00116
OG0000052	OL310752.1_00037	OK042108.1_00105
OG0000053	OL310752.1_00035	OK042108.1_00103
OG0000054	OL310752.1_00112	OK042108.1_00100
OG0000055	OL310752.1_00061	OK042108.1_00088
OG0000056	OL310752.1_00119	OK042108.1_00083
OG0000057	OL310752.1_00067	OK042108.1_00081
OG0000058	OL310752.1_00075	OK042108.1_00073
OG0000059	OL310752.1_00016	OK042108.1_00066
OG0000060	OL310752.1_00008	OK042108.1_00059
OG0000061	OL310752.1_00041	OK042108.1_00108
OG0000062	OL310752.1_00104	OK042108.1_00050
OG0000063	OL310752.1_00081	OK042108.1_00004
OG0000064	OL310752.1_00010	OK042108.1_00060
OG0000065	OL310752.1_00058	OK042108.1_00039
OG0000066	OL310752.1_00054	OK042108.1_00035
OG0000067	OL310752.1_00050, OL310752.1_00086	OK042108.1_00031
OG0000068	OL310752.1_00031	OK042108.1_00009
OG0000069	OL310752.1_00033	OK042108.1_00101
OG0000070	OL310752.1_00111	OK042108.1_00099
OG0000071	OL310752.1_00117, OL310752.1_00118	OK042108.1_00084
OG0000072	OL310752.1_00017	OK042108.1_00067
OG0000073	OL310752.1_00015	OK042108.1_00065
OG0000074	OL310752.1_00011	OK042108.1_00061
OG0000075	OL310752.1_00084	OK042108.1_00043
OG0000076	OL310752.1_00059	OK042108.1_00040
OG0000077	OL310752.1_00056	OK042108.1_00037
OG0000078	OL310752.1_00055	OK042108.1_00036
OG0000079	OL310752.1_00051	OK042108.1_00032
OG0000080	OL310752.1_00090	OK042108.1_00026
OG0000081	OL310752.1_00091	OK042108.1_00025
OG0000082	OL310752.1_00092	OK042108.1_00024
OG0000083	OL310752.1_00026	OK042108.1_00014
OG0000084	OL310752.1_00029	OK042108.1_00011
OG0000085	OL310752.1_00099	OK042108.1_00008
OG0000086	OL310752.1_00100	OK042108.1_00007
OG0000087	OL310752.1_00080	OK042108.1_00003
OG0000088	OL310752.1_00079	OK042108.1_00002
OG0000089	OL310752.1_00048	OK042108.1_00115
OG0000090	OL310752.1_00047	OK042108.1_00114
OG0000091	OL310752.1_00034	OK042108.1_00102
OG0000092	OL310752.1_00110	OK042108.1_00098
OG0000093	OL310752.1_00098	OK042108.1_00094
OG0000094	OL310752.1_00064	OK042108.1_00091
OG0000095	OL310752.1_00063	OK042108.1_00090
OG0000096	OL310752.1_00069	OK042108.1_00079
OG0000097	OL310752.1_00076	OK042108.1_00072
OG0000099	OL310752.1_00057	OK042108.1_00038
OG0000100	OL310752.1_00053	OK042108.1_00034
OG0000101	OL310752.1_00101	OK042108.1_00006
OG0000102	OL310752.1_00122	OK042108.1_00120
OG0000103	OL310752.1_00109	OK042108.1_00097
OG0000104	OL310752.1_00066	OK042108.1_00093
OG0000108	OL310752.1_00070	OK042108.1_00078
OG0000109	OL310752.1_00102	OK042108.1_00005
OG0000110	OL310752.1_00068	OK042108.1_00080
OG0000111	OL310752.1_00038	OK042108.1_00106
OG0000113	OL310752.1_00005	OK042108.1_00056
OG0000116	OL310752.1_00030	OK042108.1_00010
OG0000118	OL310752.1_00097	OK042108.1_00095
OG0000124	OL310752.1_00105	OK042108.1_00049
OG0000126	OL310752.1_00001	OK042108.1_00051
