Orthogroup	OL774655.1	LS484712.1
OG0000000	OL774655.1_00034	LS484712.1_00114
OG0000001	OL774655.1_00007	LS484712.1_00142
OG0000003	OL774655.1_00008	LS484712.1_00095
OG0000004	OL774655.1_00015	LS484712.1_00187
OG0000005	OL774655.1_00033	LS484712.1_00248
OG0000006	OL774655.1_00078	LS484712.1_00040
OG0000007	OL774655.1_00091	LS484712.1_00234, LS484712.1_00050
OG0000009	OL774655.1_00115	LS484712.1_00130
OG0000010	OL774655.1_00005	LS484712.1_00096
OG0000011	OL774655.1_00022	LS484712.1_00200
OG0000012	OL774655.1_00035	LS484712.1_00188
OG0000013	OL774655.1_00037	LS484712.1_00240
OG0000014	OL774655.1_00039	LS484712.1_00194
OG0000015	OL774655.1_00060	LS484712.1_00143
OG0000016	OL774655.1_00066	LS484712.1_00203
OG0000017	OL774655.1_00087	LS484712.1_00192
OG0000018	OL774655.1_00088	LS484712.1_00048
OG0000019	OL774655.1_00108	LS484712.1_00053
OG0000020	OL774655.1_00123	LS484712.1_00202
OG0000021	OL774655.1_00124	LS484712.1_00135
OG0000022	OL774655.1_00048	LS484712.1_00117
OG0000068	OL774655.1_00070	LS484712.1_00002
