Orthogroup	AY521625.1	MT926123.1
OG0000000	AY521625.1_00091	MT926123.1_00032
OG0000001	AY521625.1_00077	MT926123.1_00008
OG0000002	AY521625.1_00064	MT926123.1_00007
OG0000003	AY521625.1_00130	MT926123.1_00015
OG0000004	AY521625.1_00069, AY521625.1_00070	MT926123.1_00112
OG0000005	AY521625.1_00100	MT926123.1_00096
OG0000006	AY521625.1_00051	MT926123.1_00079
OG0000007	AY521625.1_00016	MT926123.1_00093
OG0000008	AY521625.1_00085	MT926123.1_00031
OG0000009	AY521625.1_00142	MT926123.1_00113
OG0000011	AY521625.1_00053	MT926123.1_00065
OG0000012	AY521625.1_00110	MT926123.1_00022
OG0000013	AY521625.1_00048	MT926123.1_00058
OG0000014	AY521625.1_00115	MT926123.1_00120
OG0000015	AY521625.1_00035	MT926123.1_00121
OG0000016	AY521625.1_00073	MT926123.1_00090
OG0000017	AY521625.1_00059	MT926123.1_00035
OG0000018	AY521625.1_00047	MT926123.1_00107
OG0000019	AY521625.1_00086	MT926123.1_00089
OG0000020	AY521625.1_00074	MT926123.1_00033
OG0000021	AY521625.1_00054	MT926123.1_00005
OG0000022	AY521625.1_00065	MT926123.1_00037
OG0000023	AY521625.1_00062	MT926123.1_00046
OG0000024	AY521625.1_00042	MT926123.1_00028
OG0000026	AY521625.1_00060	MT926123.1_00110
OG0000027	AY521625.1_00022	MT926123.1_00091
OG0000030	AY521625.1_00004	MT926123.1_00001
