Orthogroup	AY521625.1	OQ475017.1
OG0000000	AY521625.1_00091	OQ475017.1_00030
OG0000001	AY521625.1_00077	OQ475017.1_00008
OG0000002	AY521625.1_00064	OQ475017.1_00007
OG0000003	AY521625.1_00130	OQ475017.1_00015
OG0000004	AY521625.1_00069, AY521625.1_00070	OQ475017.1_00110
OG0000005	AY521625.1_00100	OQ475017.1_00093
OG0000006	AY521625.1_00051	OQ475017.1_00073
OG0000007	AY521625.1_00016	OQ475017.1_00087
OG0000008	AY521625.1_00085	OQ475017.1_00029
OG0000009	AY521625.1_00142	OQ475017.1_00112
OG0000011	AY521625.1_00053	OQ475017.1_00062
OG0000012	AY521625.1_00110	OQ475017.1_00022
OG0000013	AY521625.1_00048	OQ475017.1_00056
OG0000014	AY521625.1_00115	OQ475017.1_00120
OG0000015	AY521625.1_00035	OQ475017.1_00121
OG0000016	AY521625.1_00073	OQ475017.1_00084
OG0000017	AY521625.1_00059	OQ475017.1_00033
OG0000018	AY521625.1_00047	OQ475017.1_00105
OG0000019	AY521625.1_00086	OQ475017.1_00083
OG0000020	AY521625.1_00074	OQ475017.1_00031
OG0000021	AY521625.1_00054	OQ475017.1_00005
OG0000022	AY521625.1_00065	OQ475017.1_00035
OG0000023	AY521625.1_00062	OQ475017.1_00044
OG0000024	AY521625.1_00042	OQ475017.1_00027
OG0000026	AY521625.1_00060	OQ475017.1_00108
OG0000027	AY521625.1_00022	OQ475017.1_00085
OG0000030	AY521625.1_00004	OQ475017.1_00001
