Orthogroup	AY521625.1	AY779031.1
OG0000000	AY521625.1_00091	AY779031.1_00034
OG0000001	AY521625.1_00077	AY779031.1_00008
OG0000002	AY521625.1_00064	AY779031.1_00007
OG0000003	AY521625.1_00130	AY779031.1_00015, AY779031.1_00016
OG0000004	AY521625.1_00069, AY521625.1_00070	AY779031.1_00121
OG0000005	AY521625.1_00100	AY779031.1_00103
OG0000006	AY521625.1_00051	AY779031.1_00083
OG0000007	AY521625.1_00016	AY779031.1_00098
OG0000008	AY521625.1_00085	AY779031.1_00033
OG0000009	AY521625.1_00142	AY779031.1_00122
OG0000011	AY521625.1_00053	AY779031.1_00068
OG0000012	AY521625.1_00110	AY779031.1_00023
OG0000013	AY521625.1_00048	AY779031.1_00061
OG0000014	AY521625.1_00115	AY779031.1_00129
OG0000015	AY521625.1_00035	AY779031.1_00130
OG0000016	AY521625.1_00073	AY779031.1_00095
OG0000017	AY521625.1_00059	AY779031.1_00037
OG0000018	AY521625.1_00047	AY779031.1_00116
OG0000019	AY521625.1_00086	AY779031.1_00094
OG0000020	AY521625.1_00074	AY779031.1_00035
OG0000021	AY521625.1_00054	AY779031.1_00005
OG0000022	AY521625.1_00065	AY779031.1_00039
OG0000023	AY521625.1_00062	AY779031.1_00049
OG0000026	AY521625.1_00060	AY779031.1_00119
OG0000027	AY521625.1_00022	AY779031.1_00096
OG0000030	AY521625.1_00004	AY779031.1_00001
