Orthogroup	AY521625.1	MT986830.1
OG0000000	AY521625.1_00091	MT986830.1_00033
OG0000001	AY521625.1_00077	MT986830.1_00008
OG0000002	AY521625.1_00064	MT986830.1_00007
OG0000003	AY521625.1_00130	MT986830.1_00015
OG0000004	AY521625.1_00069, AY521625.1_00070	MT986830.1_00116
OG0000005	AY521625.1_00100	MT986830.1_00100
OG0000006	AY521625.1_00051	MT986830.1_00080
OG0000007	AY521625.1_00016	MT986830.1_00094
OG0000008	AY521625.1_00085	MT986830.1_00032
OG0000009	AY521625.1_00142	MT986830.1_00117
OG0000011	AY521625.1_00053	MT986830.1_00065
OG0000012	AY521625.1_00110	MT986830.1_00022
OG0000013	AY521625.1_00048	MT986830.1_00059
OG0000014	AY521625.1_00115	MT986830.1_00125
OG0000015	AY521625.1_00035	MT986830.1_00126
OG0000016	AY521625.1_00073	MT986830.1_00091
OG0000017	AY521625.1_00059	MT986830.1_00036
OG0000018	AY521625.1_00047	MT986830.1_00111
OG0000019	AY521625.1_00086	MT986830.1_00090
OG0000020	AY521625.1_00074	MT986830.1_00034
OG0000021	AY521625.1_00054	MT986830.1_00005
OG0000022	AY521625.1_00065	MT986830.1_00038
OG0000023	AY521625.1_00062	MT986830.1_00046
OG0000024	AY521625.1_00042	MT986830.1_00029
OG0000026	AY521625.1_00060	MT986830.1_00114
OG0000027	AY521625.1_00022	MT986830.1_00092
OG0000030	AY521625.1_00004	MT986830.1_00001
