Orthogroup	AY521625.1	MN432490.1
OG0000000	AY521625.1_00091	MN432490.1_00032
OG0000001	AY521625.1_00077	MN432490.1_00008
OG0000002	AY521625.1_00064	MN432490.1_00007
OG0000003	AY521625.1_00130	MN432490.1_00015
OG0000004	AY521625.1_00069, AY521625.1_00070	MN432490.1_00113
OG0000005	AY521625.1_00100	MN432490.1_00097
OG0000006	AY521625.1_00051	MN432490.1_00078
OG0000007	AY521625.1_00016	MN432490.1_00092
OG0000008	AY521625.1_00085	MN432490.1_00031
OG0000009	AY521625.1_00142	MN432490.1_00114
OG0000011	AY521625.1_00053	MN432490.1_00064
OG0000012	AY521625.1_00110	MN432490.1_00023
OG0000013	AY521625.1_00048	MN432490.1_00058
OG0000014	AY521625.1_00115	MN432490.1_00122
OG0000015	AY521625.1_00035	MN432490.1_00123
OG0000016	AY521625.1_00073	MN432490.1_00089
OG0000017	AY521625.1_00059	MN432490.1_00035
OG0000018	AY521625.1_00047	MN432490.1_00108
OG0000019	AY521625.1_00086	MN432490.1_00088
OG0000020	AY521625.1_00074	MN432490.1_00033
OG0000021	AY521625.1_00054	MN432490.1_00005
OG0000022	AY521625.1_00065	MN432490.1_00037
OG0000023	AY521625.1_00062	MN432490.1_00046
OG0000024	AY521625.1_00042	MN432490.1_00028
OG0000026	AY521625.1_00060	MN432490.1_00111
OG0000027	AY521625.1_00022	MN432490.1_00090
OG0000030	AY521625.1_00004	MN432490.1_00001
