Orthogroup	AY521625.1	HF920633.1
OG0000000	AY521625.1_00091	HF920633.1_00044
OG0000001	AY521625.1_00077	HF920633.1_00069
OG0000002	AY521625.1_00064	HF920633.1_00073
OG0000003	AY521625.1_00130	HF920633.1_00127
OG0000004	AY521625.1_00069, AY521625.1_00070	HF920633.1_00079
OG0000005	AY521625.1_00100	HF920633.1_00085
OG0000006	AY521625.1_00051	HF920633.1_00025
OG0000007	AY521625.1_00016	HF920633.1_00091
OG0000008	AY521625.1_00085	HF920633.1_00043
OG0000009	AY521625.1_00142	HF920633.1_00122
OG0000011	AY521625.1_00053	HF920633.1_00118
OG0000012	AY521625.1_00110	HF920633.1_00001
OG0000013	AY521625.1_00048	HF920633.1_00067
OG0000014	AY521625.1_00115	HF920633.1_00138
OG0000015	AY521625.1_00035	HF920633.1_00058
OG0000016	AY521625.1_00073	HF920633.1_00094
OG0000017	AY521625.1_00059	HF920633.1_00158
OG0000018	AY521625.1_00047	HF920633.1_00003
OG0000019	AY521625.1_00086	HF920633.1_00163
OG0000020	AY521625.1_00074	HF920633.1_00080
OG0000021	AY521625.1_00054	HF920633.1_00097
OG0000022	AY521625.1_00065	HF920633.1_00175
OG0000023	AY521625.1_00062	HF920633.1_00017
OG0000024	AY521625.1_00042	HF920633.1_00062
OG0000113	AY521625.1_00036	HF920633.1_00145
OG0000134	AY521625.1_00098	HF920633.1_00135
OG0000135	AY521625.1_00102	HF920633.1_00064
OG0000137	AY521625.1_00056	HF920633.1_00132
OG0000148	AY521625.1_00133	HF920633.1_00026
OG0000156	AY521625.1_00044	HF920633.1_00106
OG0000158	AY521625.1_00018	HF920633.1_00024
OG0000172	AY521625.1_00014	HF920633.1_00144
OG0000176	AY521625.1_00005	HF920633.1_00171
OG0000178	AY521625.1_00140	HF920633.1_00034
