Orthogroup	AY521625.1	GQ273492.1
OG0000000	AY521625.1_00091	GQ273492.1_00030
OG0000001	AY521625.1_00077	GQ273492.1_00008
OG0000002	AY521625.1_00064	GQ273492.1_00007
OG0000003	AY521625.1_00130	GQ273492.1_00015
OG0000004	AY521625.1_00069, AY521625.1_00070	GQ273492.1_00108
OG0000005	AY521625.1_00100	GQ273492.1_00092
OG0000006	AY521625.1_00051	GQ273492.1_00073
OG0000007	AY521625.1_00016	GQ273492.1_00087
OG0000008	AY521625.1_00085	GQ273492.1_00029
OG0000009	AY521625.1_00142	GQ273492.1_00110
OG0000011	AY521625.1_00053	GQ273492.1_00063
OG0000012	AY521625.1_00110	GQ273492.1_00022
OG0000013	AY521625.1_00048	GQ273492.1_00056
OG0000014	AY521625.1_00115	GQ273492.1_00118
OG0000015	AY521625.1_00035	GQ273492.1_00119
OG0000016	AY521625.1_00073	GQ273492.1_00084
OG0000017	AY521625.1_00059	GQ273492.1_00033
OG0000018	AY521625.1_00047	GQ273492.1_00103
OG0000019	AY521625.1_00086	GQ273492.1_00083
OG0000020	AY521625.1_00074	GQ273492.1_00031
OG0000021	AY521625.1_00054	GQ273492.1_00005
OG0000022	AY521625.1_00065	GQ273492.1_00035
OG0000023	AY521625.1_00062	GQ273492.1_00044
OG0000024	AY521625.1_00042	GQ273492.1_00027
OG0000026	AY521625.1_00060	GQ273492.1_00106
OG0000027	AY521625.1_00022	GQ273492.1_00085
OG0000030	AY521625.1_00004	GQ273492.1_00001
