Orthogroup	MT521409.1	MW139932.1
OG0000000	MT521409.1_00103	MW139932.1_00033
OG0000001	MT521409.1_00082	MW139932.1_00008
OG0000002	MT521409.1_00081	MW139932.1_00007
OG0000003	MT521409.1_00088	MW139932.1_00015
OG0000004	MT521409.1_00061	MW139932.1_00113
OG0000005	MT521409.1_00057	MW139932.1_00096
OG0000006	MT521409.1_00117	MW139932.1_00077
OG0000007	MT521409.1_00053	MW139932.1_00091
OG0000008	MT521409.1_00100	MW139932.1_00032
OG0000009	MT521409.1_00060	MW139932.1_00115
OG0000010	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132	MW139932.1_00078
OG0000011	MT521409.1_00129	MW139932.1_00065
OG0000012	MT521409.1_00097	MW139932.1_00023
OG0000013	MT521409.1_00039	MW139932.1_00059
OG0000014	MT521409.1_00059	MW139932.1_00123
OG0000015	MT521409.1_00134	MW139932.1_00124
OG0000016	MT521409.1_00048	MW139932.1_00088
OG0000017	MT521409.1_00011	MW139932.1_00036
OG0000018	MT521409.1_00064	MW139932.1_00108
OG0000019	MT521409.1_00047	MW139932.1_00087
OG0000020	MT521409.1_00012	MW139932.1_00034
OG0000021	MT521409.1_00125	MW139932.1_00005
OG0000022	MT521409.1_00008	MW139932.1_00038
OG0000023	MT521409.1_00024	MW139932.1_00047
OG0000024	MT521409.1_00074	MW139932.1_00029
OG0000025	MT521409.1_00114	MW139932.1_00066
OG0000026	MT521409.1_00063	MW139932.1_00111
OG0000027	MT521409.1_00050	MW139932.1_00089
OG0000028	MT521409.1_00027	MW139932.1_00050
OG0000029	MT521409.1_00042	MW139932.1_00063
OG0000030	MT521409.1_00108	MW139932.1_00001
OG0000031	MT521409.1_00127	MW139932.1_00006
OG0000032	MT521409.1_00119	MW139932.1_00082
OG0000033	MT521409.1_00051	MW139932.1_00090
OG0000034	MT521409.1_00110	MW139932.1_00125
OG0000035	MT521409.1_00087	MW139932.1_00013
OG0000036	MT521409.1_00133	MW139932.1_00014
OG0000037	MT521409.1_00092	MW139932.1_00019
OG0000038	MT521409.1_00093	MW139932.1_00020
OG0000039	MT521409.1_00098	MW139932.1_00024
OG0000040	MT521409.1_00090	MW139932.1_00025
OG0000041	MT521409.1_00135	MW139932.1_00035
OG0000042	MT521409.1_00013	MW139932.1_00039
OG0000043	MT521409.1_00031	MW139932.1_00051
OG0000044	MT521409.1_00032	MW139932.1_00052
OG0000045	MT521409.1_00037	MW139932.1_00057
OG0000046	MT521409.1_00038	MW139932.1_00058
OG0000047	MT521409.1_00040	MW139932.1_00060
OG0000048	MT521409.1_00052	MW139932.1_00061
OG0000049	MT521409.1_00041	MW139932.1_00062
OG0000050	MT521409.1_00118	MW139932.1_00079
OG0000051	MT521409.1_00120	MW139932.1_00083
OG0000052	MT521409.1_00005	MW139932.1_00084
OG0000053	MT521409.1_00056	MW139932.1_00095
OG0000054	MT521409.1_00106	MW139932.1_00097
OG0000055	MT521409.1_00105	MW139932.1_00100
OG0000056	MT521409.1_00062	MW139932.1_00112
OG0000057	MT521409.1_00058	MW139932.1_00117
OG0000058	MT521409.1_00001	MW139932.1_00119
OG0000059	MT521409.1_00107	MW139932.1_00002
OG0000060	MT521409.1_00084	MW139932.1_00010
OG0000061	MT521409.1_00091	MW139932.1_00018
OG0000062	MT521409.1_00054	MW139932.1_00092
OG0000096	MT521409.1_00046	MW139932.1_00121
OG0000114	MT521409.1_00096	MW139932.1_00022
OG0000115	MT521409.1_00085	MW139932.1_00011
OG0000118	MT521409.1_00055	MW139932.1_00093
