Orthogroup	MT521409.1	L63545.1
OG0000000	MT521409.1_00103	L63545.1_00007
OG0000001	MT521409.1_00082	L63545.1_00035
OG0000002	MT521409.1_00081	L63545.1_00079
OG0000003	MT521409.1_00088	L63545.1_00076
OG0000004	MT521409.1_00061	L63545.1_00001
OG0000005	MT521409.1_00057	L63545.1_00056
OG0000006	MT521409.1_00117	L63545.1_00093
OG0000007	MT521409.1_00053	L63545.1_00090
OG0000008	MT521409.1_00100	L63545.1_00108
OG0000009	MT521409.1_00060	L63545.1_00024
OG0000011	MT521409.1_00129	L63545.1_00069
OG0000012	MT521409.1_00097	L63545.1_00071
OG0000013	MT521409.1_00039	L63545.1_00004
OG0000014	MT521409.1_00059	L63545.1_00030
OG0000015	MT521409.1_00134	L63545.1_00110
OG0000016	MT521409.1_00048	L63545.1_00073
OG0000017	MT521409.1_00011	L63545.1_00072
OG0000018	MT521409.1_00064	L63545.1_00068
OG0000019	MT521409.1_00047	L63545.1_00009
OG0000020	MT521409.1_00012	L63545.1_00098
OG0000021	MT521409.1_00125	L63545.1_00043
OG0000022	MT521409.1_00008	L63545.1_00013
OG0000023	MT521409.1_00024	L63545.1_00054
OG0000024	MT521409.1_00074	L63545.1_00015
OG0000026	MT521409.1_00063	L63545.1_00002
OG0000027	MT521409.1_00050	L63545.1_00058
OG0000028	MT521409.1_00027	L63545.1_00003
OG0000151	MT521409.1_00137	L63545.1_00085
OG0000161	MT521409.1_00102	L63545.1_00087
