Orthogroup	MT521409.1	MF599468.1
OG0000000	MT521409.1_00103	MF599468.1_00057, MF599468.1_00056
OG0000001	MT521409.1_00082	MF599468.1_00163
OG0000002	MT521409.1_00081	MF599468.1_00152
OG0000003	MT521409.1_00088	MF599468.1_00011
OG0000004	MT521409.1_00061	MF599468.1_00092
OG0000005	MT521409.1_00057	MF599468.1_00154
OG0000006	MT521409.1_00117	MF599468.1_00010
OG0000007	MT521409.1_00053	MF599468.1_00174
OG0000008	MT521409.1_00100	MF599468.1_00030
OG0000009	MT521409.1_00060	MF599468.1_00075
OG0000011	MT521409.1_00129	MF599468.1_00149
OG0000012	MT521409.1_00097	MF599468.1_00112
OG0000013	MT521409.1_00039	MF599468.1_00033
OG0000014	MT521409.1_00059	MF599468.1_00122
OG0000015	MT521409.1_00134	MF599468.1_00009
OG0000016	MT521409.1_00048	MF599468.1_00046
OG0000017	MT521409.1_00011	MF599468.1_00035
OG0000018	MT521409.1_00064	MF599468.1_00117
OG0000019	MT521409.1_00047	MF599468.1_00106
OG0000020	MT521409.1_00012	MF599468.1_00090
OG0000021	MT521409.1_00125	MF599468.1_00116
OG0000022	MT521409.1_00008	MF599468.1_00071
OG0000023	MT521409.1_00024	MF599468.1_00171
OG0000026	MT521409.1_00063	MF599468.1_00039
OG0000047	MT521409.1_00040	MF599468.1_00013
OG0000173	MT521409.1_00115	MF599468.1_00098
